Epoch [1/20], Train Loss: 0.7073
Validation Loss: 0.6907, Validation Accuracy: 71.17%
Epoch [2/20], Train Loss: 0.6454
Validation Loss: 0.6112, Validation Accuracy: 72.50%
Epoch [3/20], Train Loss: 0.5877
Validation Loss: 0.5915, Validation Accuracy: 72.50%
Epoch [4/20], Train Loss: 0.5798
Validation Loss: 0.5902, Validation Accuracy: 72.50%
Epoch [5/20], Train Loss: 0.5759
Validation Loss: 0.5895, Validation Accuracy: 72.50%
Epoch [6/20], Train Loss: 0.5758
Validation Loss: 0.5896, Validation Accuracy: 72.50%
Epoch [7/20], Train Loss: 0.5721
Validation Loss: 0.5894, Validation Accuracy: 72.50%
Epoch [8/20], Train Loss: 0.5728
Validation Loss: 0.5894, Validation Accuracy: 72.50%
Epoch [9/20], Train Loss: 0.5725
Validation Loss: 0.5894, Validation Accuracy: 72.50%
Epoch [10/20], Train Loss: 0.5704
Validation Loss: 0.5893, Validation Accuracy: 72.50%
Epoch [11/20], Train Loss: 0.5724
Validation Loss: 0.5896, Validation Accuracy: 72.50%
Epoch [12/20], Train Loss: 0.5688
Validation Loss: 0.5894, Validation Accuracy: 72.50%
Epoch [13/20], Train Loss: 0.5686
Validation Loss: 0.5894, Validation Accuracy: 72.50%
Epoch [14/20], Train Loss: 0.5660
Validation Loss: 0.5889, Validation Accuracy: 72.50%
Epoch [15/20], Train Loss: 0.5661
Validation Loss: 0.5889, Validation Accuracy: 72.50%
Epoch [16/20], Train Loss: 0.5620
Validation Loss: 0.5886, Validation Accuracy: 72.50%
Epoch [17/20], Train Loss: 0.5648
Validation Loss: 0.5886, Validation Accuracy: 72.50%
Epoch [18/20], Train Loss: 0.5650
Validation Loss: 0.5886, Validation Accuracy: 72.50%
Epoch [19/20], Train Loss: 0.5640
Validation Loss: 0.5886, Validation Accuracy: 72.50%
Epoch [20/20], Train Loss: 0.5639
Validation Loss: 0.5886, Validation Accuracy: 72.50%
Finished Training
