Data shape: torch.Size([12395, 24, 37])
Labels shape: torch.Size([12395, 1])
Data shape: torch.Size([3542, 24, 37])
Labels shape: torch.Size([3542, 1])
Data shape: torch.Size([1771, 24, 37])
Labels shape: torch.Size([1771, 1])
Epoch [1/20], Train Loss: 0.6835
Validation Loss: 0.6738, Validation Accuracy: 72.50%
Epoch [2/20], Train Loss: 0.6319
Validation Loss: 0.5946, Validation Accuracy: 72.50%
Epoch [3/20], Train Loss: 0.5771
Validation Loss: 0.5902, Validation Accuracy: 72.50%
Epoch [4/20], Train Loss: 0.5774
Validation Loss: 0.5908, Validation Accuracy: 72.50%
Epoch [5/20], Train Loss: 0.5723
Validation Loss: 0.5904, Validation Accuracy: 72.50%
Epoch [6/20], Train Loss: 0.5706
Validation Loss: 0.5905, Validation Accuracy: 72.50%
Epoch [7/20], Train Loss: 0.5681
Validation Loss: 0.5900, Validation Accuracy: 72.50%
Epoch [8/20], Train Loss: 0.5626
Validation Loss: 0.5896, Validation Accuracy: 72.50%
Epoch [9/20], Train Loss: 0.5639
Validation Loss: 0.5896, Validation Accuracy: 72.50%
Epoch [10/20], Train Loss: 0.5669
Validation Loss: 0.5900, Validation Accuracy: 72.50%
Epoch [11/20], Train Loss: 0.5618
Validation Loss: 0.5896, Validation Accuracy: 72.50%
Epoch [12/20], Train Loss: 0.5636
Validation Loss: 0.5896, Validation Accuracy: 72.50%
Epoch [13/20], Train Loss: 0.5620
Validation Loss: 0.5895, Validation Accuracy: 72.50%
Epoch [14/20], Train Loss: 0.5614
Validation Loss: 0.5895, Validation Accuracy: 72.50%
Epoch [15/20], Train Loss: 0.5591
Validation Loss: 0.5894, Validation Accuracy: 72.50%
Epoch [16/20], Train Loss: 0.5651
Validation Loss: 0.5896, Validation Accuracy: 72.50%
Epoch [17/20], Train Loss: 0.5633
Validation Loss: 0.5897, Validation Accuracy: 72.50%
Epoch [18/20], Train Loss: 0.5606
Validation Loss: 0.5896, Validation Accuracy: 72.50%
Epoch [19/20], Train Loss: 0.5603
Validation Loss: 0.5895, Validation Accuracy: 72.50%
Epoch [20/20], Train Loss: 0.5578
Validation Loss: 0.5894, Validation Accuracy: 72.50%
Early stopping
Finished Training
