Data shape: torch.Size([12395, 24, 37])
Labels shape: torch.Size([12395, 1])
Data shape: torch.Size([3542, 24, 37])
Labels shape: torch.Size([3542, 1])
Data shape: torch.Size([1771, 24, 37])
Labels shape: torch.Size([1771, 1])
Epoch [1/20], Train Loss: 0.6779
Validation Loss: 0.6736, Validation Accuracy: 72.50%
Epoch [2/20], Train Loss: 0.6489
Validation Loss: 0.6237, Validation Accuracy: 72.50%
Epoch [3/20], Train Loss: 0.5849
Validation Loss: 0.5886, Validation Accuracy: 72.50%
Epoch [4/20], Train Loss: 0.5709
Validation Loss: 0.5883, Validation Accuracy: 72.50%
Epoch [5/20], Train Loss: 0.5734
Validation Loss: 0.5886, Validation Accuracy: 72.50%
Epoch [6/20], Train Loss: 0.5680
Validation Loss: 0.5884, Validation Accuracy: 72.50%
Epoch [7/20], Train Loss: 0.5684
Validation Loss: 0.5884, Validation Accuracy: 72.50%
Epoch [8/20], Train Loss: 0.5666
Validation Loss: 0.5882, Validation Accuracy: 72.50%
Epoch [9/20], Train Loss: 0.5686
Validation Loss: 0.5882, Validation Accuracy: 72.50%
Epoch [10/20], Train Loss: 0.5669
Validation Loss: 0.5882, Validation Accuracy: 72.50%
Epoch [11/20], Train Loss: 0.5686
Validation Loss: 0.5882, Validation Accuracy: 72.50%
Epoch [12/20], Train Loss: 0.5660
Validation Loss: 0.5883, Validation Accuracy: 72.50%
Epoch [13/20], Train Loss: 0.5623
Validation Loss: 0.5882, Validation Accuracy: 72.50%
Epoch [14/20], Train Loss: 0.5628
Validation Loss: 0.5882, Validation Accuracy: 72.50%
Epoch [15/20], Train Loss: 0.5628
Validation Loss: 0.5882, Validation Accuracy: 72.50%
Epoch [16/20], Train Loss: 0.5679
Validation Loss: 0.5882, Validation Accuracy: 72.50%
Epoch [17/20], Train Loss: 0.5634
Validation Loss: 0.5882, Validation Accuracy: 72.50%
Epoch [18/20], Train Loss: 0.5609
Validation Loss: 0.5882, Validation Accuracy: 72.50%
Epoch [19/20], Train Loss: 0.5657
Validation Loss: 0.5882, Validation Accuracy: 72.50%
Epoch [20/20], Train Loss: 0.5663
Validation Loss: 0.5882, Validation Accuracy: 72.50%
Early stopping
Finished Training
