Data shape: torch.Size([12395, 24, 37])
Labels shape: torch.Size([12395, 1])
Data shape: torch.Size([3542, 24, 37])
Labels shape: torch.Size([3542, 1])
Data shape: torch.Size([1771, 24, 37])
Labels shape: torch.Size([1771, 1])
Epoch [1/100], Train Loss: 0.7459
Validation Loss: 0.7370, Validation Accuracy: 27.50%
Epoch [2/100], Train Loss: 0.7450
Validation Loss: 0.7362, Validation Accuracy: 27.50%
Epoch [3/100], Train Loss: 0.7437
Validation Loss: 0.7354, Validation Accuracy: 27.50%
Epoch [4/100], Train Loss: 0.7429
Validation Loss: 0.7345, Validation Accuracy: 27.50%
Epoch [5/100], Train Loss: 0.7417
Validation Loss: 0.7335, Validation Accuracy: 27.50%
Epoch [6/100], Train Loss: 0.7406
Validation Loss: 0.7325, Validation Accuracy: 27.50%
Epoch [7/100], Train Loss: 0.7397
Validation Loss: 0.7314, Validation Accuracy: 27.50%
Epoch [8/100], Train Loss: 0.7381
Validation Loss: 0.7304, Validation Accuracy: 27.50%
Epoch [9/100], Train Loss: 0.7369
Validation Loss: 0.7293, Validation Accuracy: 27.50%
Epoch [10/100], Train Loss: 0.7356
Validation Loss: 0.7281, Validation Accuracy: 27.50%
Epoch [11/100], Train Loss: 0.7346
Validation Loss: 0.7268, Validation Accuracy: 27.50%
Epoch [12/100], Train Loss: 0.7330
Validation Loss: 0.7254, Validation Accuracy: 27.50%
Epoch [13/100], Train Loss: 0.7314
Validation Loss: 0.7241, Validation Accuracy: 27.50%
Epoch [14/100], Train Loss: 0.7302
Validation Loss: 0.7226, Validation Accuracy: 27.50%
Epoch [15/100], Train Loss: 0.7278
Validation Loss: 0.7211, Validation Accuracy: 27.50%
Epoch [16/100], Train Loss: 0.7263
Validation Loss: 0.7194, Validation Accuracy: 27.50%
Epoch [17/100], Train Loss: 0.7240
Validation Loss: 0.7175, Validation Accuracy: 27.50%
Epoch [18/100], Train Loss: 0.7221
Validation Loss: 0.7153, Validation Accuracy: 27.50%
Epoch [19/100], Train Loss: 0.7184
Validation Loss: 0.7129, Validation Accuracy: 27.50%
Epoch [20/100], Train Loss: 0.7156
Validation Loss: 0.7096, Validation Accuracy: 27.50%
Epoch [21/100], Train Loss: 0.7117
Validation Loss: 0.7058, Validation Accuracy: 27.50%
Epoch [22/100], Train Loss: 0.7074
Validation Loss: 0.7017, Validation Accuracy: 27.50%
Epoch [23/100], Train Loss: 0.7023
Validation Loss: 0.6972, Validation Accuracy: 27.50%
Epoch [24/100], Train Loss: 0.6980
Validation Loss: 0.6922, Validation Accuracy: 71.09%
Epoch [25/100], Train Loss: 0.6933
Validation Loss: 0.6871, Validation Accuracy: 72.28%
Epoch [26/100], Train Loss: 0.6881
Validation Loss: 0.6817, Validation Accuracy: 72.42%
Epoch [27/100], Train Loss: 0.6818
Validation Loss: 0.6761, Validation Accuracy: 72.47%
Epoch [28/100], Train Loss: 0.6742
Validation Loss: 0.6702, Validation Accuracy: 72.53%
Epoch [29/100], Train Loss: 0.6694
Validation Loss: 0.6642, Validation Accuracy: 72.50%
Epoch [30/100], Train Loss: 0.6647
Validation Loss: 0.6585, Validation Accuracy: 72.47%
Epoch [31/100], Train Loss: 0.6590
Validation Loss: 0.6530, Validation Accuracy: 72.50%
