Data shape: torch.Size([12395, 24, 37])
Labels shape: torch.Size([12395, 1])
Data shape: torch.Size([3542, 24, 37])
Labels shape: torch.Size([3542, 1])
Data shape: torch.Size([1771, 24, 37])
Labels shape: torch.Size([1771, 1])
Epoch [1/70], Train Loss: 0.6539
Validation Loss: 0.6600, Validation Accuracy: 72.50%
Epoch [2/70], Train Loss: 0.6506
Validation Loss: 0.6570, Validation Accuracy: 72.50%
Epoch [3/70], Train Loss: 0.6464
Validation Loss: 0.6542, Validation Accuracy: 72.50%
Epoch [4/70], Train Loss: 0.6429
Validation Loss: 0.6514, Validation Accuracy: 72.50%
Epoch [5/70], Train Loss: 0.6391
Validation Loss: 0.6483, Validation Accuracy: 72.50%
Epoch [6/70], Train Loss: 0.6343
Validation Loss: 0.6445, Validation Accuracy: 72.50%
Epoch [7/70], Train Loss: 0.6278
Validation Loss: 0.6391, Validation Accuracy: 72.50%
Epoch [8/70], Train Loss: 0.6176
Validation Loss: 0.6293, Validation Accuracy: 72.50%
Epoch [9/70], Train Loss: 0.6048
Validation Loss: 0.6180, Validation Accuracy: 72.50%
Epoch [10/70], Train Loss: 0.5921
Validation Loss: 0.6086, Validation Accuracy: 72.50%
Epoch [11/70], Train Loss: 0.5850
Validation Loss: 0.6022, Validation Accuracy: 72.50%
Epoch [12/70], Train Loss: 0.5775
Validation Loss: 0.5977, Validation Accuracy: 72.50%
Epoch [13/70], Train Loss: 0.5718
Validation Loss: 0.5945, Validation Accuracy: 72.50%
Epoch [14/70], Train Loss: 0.5696
Validation Loss: 0.5925, Validation Accuracy: 72.50%
Epoch [15/70], Train Loss: 0.5675
Validation Loss: 0.5912, Validation Accuracy: 72.50%
Epoch [16/70], Train Loss: 0.5680
Validation Loss: 0.5905, Validation Accuracy: 72.50%
Epoch [17/70], Train Loss: 0.5674
Validation Loss: 0.5900, Validation Accuracy: 72.50%
Epoch [18/70], Train Loss: 0.5648
Validation Loss: 0.5896, Validation Accuracy: 72.50%
Epoch [19/70], Train Loss: 0.5663
Validation Loss: 0.5893, Validation Accuracy: 72.50%
Epoch [20/70], Train Loss: 0.5679
Validation Loss: 0.5892, Validation Accuracy: 72.50%
Epoch [21/70], Train Loss: 0.5648
Validation Loss: 0.5891, Validation Accuracy: 72.50%
Epoch [22/70], Train Loss: 0.5679
Validation Loss: 0.5890, Validation Accuracy: 72.50%
Epoch [23/70], Train Loss: 0.5640
Validation Loss: 0.5889, Validation Accuracy: 72.50%
Epoch [24/70], Train Loss: 0.5648
Validation Loss: 0.5888, Validation Accuracy: 72.50%
Epoch [25/70], Train Loss: 0.5640
Validation Loss: 0.5888, Validation Accuracy: 72.50%
Epoch [26/70], Train Loss: 0.5648
Validation Loss: 0.5888, Validation Accuracy: 72.50%
Epoch [27/70], Train Loss: 0.5653
Validation Loss: 0.5887, Validation Accuracy: 72.50%
Epoch [28/70], Train Loss: 0.5641
Validation Loss: 0.5887, Validation Accuracy: 72.50%
Epoch [29/70], Train Loss: 0.5662
Validation Loss: 0.5887, Validation Accuracy: 72.50%
Epoch [30/70], Train Loss: 0.5639
Validation Loss: 0.5887, Validation Accuracy: 72.50%
Epoch [31/70], Train Loss: 0.5605
Validation Loss: 0.5886, Validation Accuracy: 72.50%
Epoch [32/70], Train Loss: 0.5613
Validation Loss: 0.5886, Validation Accuracy: 72.50%
Epoch [33/70], Train Loss: 0.5616
Validation Loss: 0.5885, Validation Accuracy: 72.50%
Epoch [34/70], Train Loss: 0.5591
Validation Loss: 0.5885, Validation Accuracy: 72.50%
Epoch [35/70], Train Loss: 0.5623
Validation Loss: 0.5885, Validation Accuracy: 72.50%
Epoch [36/70], Train Loss: 0.5606
Validation Loss: 0.5885, Validation Accuracy: 72.50%
Epoch [37/70], Train Loss: 0.5591
Validation Loss: 0.5884, Validation Accuracy: 72.50%
Epoch [38/70], Train Loss: 0.5661
Validation Loss: 0.5885, Validation Accuracy: 72.50%
Epoch [39/70], Train Loss: 0.5615
Validation Loss: 0.5884, Validation Accuracy: 72.50%
Epoch [40/70], Train Loss: 0.5597
Validation Loss: 0.5884, Validation Accuracy: 72.50%
Epoch [41/70], Train Loss: 0.5617
Validation Loss: 0.5884, Validation Accuracy: 72.50%
Epoch [42/70], Train Loss: 0.5615
Validation Loss: 0.5884, Validation Accuracy: 72.50%
Early stopping
Finished Training
