Data shape: torch.Size([12395, 24, 37])
Labels shape: torch.Size([12395, 1])
Data shape: torch.Size([3542, 24, 37])
Labels shape: torch.Size([3542, 1])
Data shape: torch.Size([1771, 24, 37])
Labels shape: torch.Size([1771, 1])
Epoch [1/70], Train Loss: 0.6232
Validation Loss: 0.6354, Validation Accuracy: 72.50%
Epoch [2/70], Train Loss: 0.6220
Validation Loss: 0.6348, Validation Accuracy: 72.50%
Epoch [3/70], Train Loss: 0.6214
Validation Loss: 0.6343, Validation Accuracy: 72.50%
Epoch [4/70], Train Loss: 0.6206
Validation Loss: 0.6338, Validation Accuracy: 72.50%
Epoch [5/70], Train Loss: 0.6202
Validation Loss: 0.6332, Validation Accuracy: 72.50%
Epoch [6/70], Train Loss: 0.6195
Validation Loss: 0.6327, Validation Accuracy: 72.50%
Epoch [7/70], Train Loss: 0.6184
Validation Loss: 0.6322, Validation Accuracy: 72.50%
Epoch [8/70], Train Loss: 0.6180
Validation Loss: 0.6317, Validation Accuracy: 72.50%
Epoch [9/70], Train Loss: 0.6171
Validation Loss: 0.6312, Validation Accuracy: 72.50%
Epoch [10/70], Train Loss: 0.6167
Validation Loss: 0.6307, Validation Accuracy: 72.50%
Epoch [11/70], Train Loss: 0.6160
Validation Loss: 0.6301, Validation Accuracy: 72.50%
Epoch [12/70], Train Loss: 0.6148
Validation Loss: 0.6296, Validation Accuracy: 72.50%
Epoch [13/70], Train Loss: 0.6141
Validation Loss: 0.6290, Validation Accuracy: 72.50%
Epoch [14/70], Train Loss: 0.6130
Validation Loss: 0.6285, Validation Accuracy: 72.50%
Epoch [15/70], Train Loss: 0.6121
Validation Loss: 0.6279, Validation Accuracy: 72.50%
Epoch [16/70], Train Loss: 0.6120
Validation Loss: 0.6273, Validation Accuracy: 72.50%
Epoch [17/70], Train Loss: 0.6106
Validation Loss: 0.6267, Validation Accuracy: 72.50%
Epoch [18/70], Train Loss: 0.6092
Validation Loss: 0.6261, Validation Accuracy: 72.50%
Epoch [19/70], Train Loss: 0.6087
Validation Loss: 0.6254, Validation Accuracy: 72.50%
Epoch [20/70], Train Loss: 0.6075
Validation Loss: 0.6246, Validation Accuracy: 72.50%
Epoch [21/70], Train Loss: 0.6062
Validation Loss: 0.6238, Validation Accuracy: 72.50%
Epoch [22/70], Train Loss: 0.6046
Validation Loss: 0.6229, Validation Accuracy: 72.50%
Epoch [23/70], Train Loss: 0.6027
Validation Loss: 0.6219, Validation Accuracy: 72.50%
Epoch [24/70], Train Loss: 0.6012
Validation Loss: 0.6209, Validation Accuracy: 72.50%
Epoch [25/70], Train Loss: 0.5999
Validation Loss: 0.6196, Validation Accuracy: 72.50%
Epoch [26/70], Train Loss: 0.5977
Validation Loss: 0.6181, Validation Accuracy: 72.50%
Epoch [27/70], Train Loss: 0.5961
Validation Loss: 0.6166, Validation Accuracy: 72.50%
Epoch [28/70], Train Loss: 0.5938
Validation Loss: 0.6149, Validation Accuracy: 72.50%
Epoch [29/70], Train Loss: 0.5913
Validation Loss: 0.6133, Validation Accuracy: 72.50%
Epoch [30/70], Train Loss: 0.5877
Validation Loss: 0.6115, Validation Accuracy: 72.50%
Epoch [31/70], Train Loss: 0.5862
Validation Loss: 0.6096, Validation Accuracy: 72.50%
