Data shape: torch.Size([12395, 24, 45])
Labels shape: torch.Size([12395, 1])
Data shape: torch.Size([3542, 24, 45])
Labels shape: torch.Size([3542, 1])
Data shape: torch.Size([1771, 24, 45])
Labels shape: torch.Size([1771, 1])
Epoch [1/70], Train Loss: 0.7005
Validation Loss: 0.6907, Validation Accuracy: 72.50%
Epoch [2/70], Train Loss: 0.6875
Validation Loss: 0.6805, Validation Accuracy: 72.50%
Epoch [3/70], Train Loss: 0.6731
Validation Loss: 0.6662, Validation Accuracy: 72.50%
Epoch [4/70], Train Loss: 0.6459
Validation Loss: 0.6299, Validation Accuracy: 72.50%
Epoch [5/70], Train Loss: 0.6041
Validation Loss: 0.5973, Validation Accuracy: 72.50%
Epoch [6/70], Train Loss: 0.5837
Validation Loss: 0.5897, Validation Accuracy: 72.50%
Epoch [7/70], Train Loss: 0.5794
Validation Loss: 0.5888, Validation Accuracy: 72.50%
Epoch [8/70], Train Loss: 0.5767
Validation Loss: 0.5887, Validation Accuracy: 72.50%
Epoch [9/70], Train Loss: 0.5746
Validation Loss: 0.5885, Validation Accuracy: 72.50%
Epoch [10/70], Train Loss: 0.5744
Validation Loss: 0.5885, Validation Accuracy: 72.50%
Epoch [11/70], Train Loss: 0.5727
Validation Loss: 0.5884, Validation Accuracy: 72.50%
Epoch [12/70], Train Loss: 0.5682
Validation Loss: 0.5884, Validation Accuracy: 72.50%
Epoch [13/70], Train Loss: 0.5708
Validation Loss: 0.5885, Validation Accuracy: 72.50%
Epoch [14/70], Train Loss: 0.5695
Validation Loss: 0.5885, Validation Accuracy: 72.50%
Epoch [15/70], Train Loss: 0.5685
Validation Loss: 0.5886, Validation Accuracy: 72.50%
Epoch [16/70], Train Loss: 0.5664
Validation Loss: 0.5885, Validation Accuracy: 72.50%
Epoch [17/70], Train Loss: 0.5671
Validation Loss: 0.5885, Validation Accuracy: 72.50%
Early stopping
Finished Training
