Data shape: torch.Size([12395, 24, 45])
Labels shape: torch.Size([12395, 1])
Data shape: torch.Size([3542, 24, 45])
Labels shape: torch.Size([3542, 1])
Data shape: torch.Size([1771, 24, 45])
Labels shape: torch.Size([1771, 1])
Epoch [1/25], Train Loss: 0.6570
Validation Loss: 0.6562, Validation Accuracy: 72.50%
Epoch [2/25], Train Loss: 0.6320
Validation Loss: 0.6250, Validation Accuracy: 72.50%
Epoch [3/25], Train Loss: 0.5822
Validation Loss: 0.5942, Validation Accuracy: 72.50%
Epoch [4/25], Train Loss: 0.5676
Validation Loss: 0.5908, Validation Accuracy: 72.50%
Epoch [5/25], Train Loss: 0.5691
Validation Loss: 0.5908, Validation Accuracy: 72.50%
Epoch [6/25], Train Loss: 0.5687
Validation Loss: 0.5910, Validation Accuracy: 72.50%
Epoch [7/25], Train Loss: 0.5667
Validation Loss: 0.5906, Validation Accuracy: 72.50%
Epoch [8/25], Train Loss: 0.5652
Validation Loss: 0.5904, Validation Accuracy: 72.50%
Epoch [9/25], Train Loss: 0.5627
Validation Loss: 0.5903, Validation Accuracy: 72.50%
Epoch [10/25], Train Loss: 0.5607
Validation Loss: 0.5900, Validation Accuracy: 72.50%
Epoch [11/25], Train Loss: 0.5631
Validation Loss: 0.5902, Validation Accuracy: 72.50%
Epoch [12/25], Train Loss: 0.5618
Validation Loss: 0.5901, Validation Accuracy: 72.50%
Epoch [13/25], Train Loss: 0.5601
Validation Loss: 0.5898, Validation Accuracy: 72.50%
Epoch [14/25], Train Loss: 0.5621
Validation Loss: 0.5900, Validation Accuracy: 72.50%
Epoch [15/25], Train Loss: 0.5586
Validation Loss: 0.5898, Validation Accuracy: 72.50%
Epoch [16/25], Train Loss: 0.5615
Validation Loss: 0.5897, Validation Accuracy: 72.50%
Epoch [17/25], Train Loss: 0.5563
Validation Loss: 0.5893, Validation Accuracy: 72.50%
Epoch [18/25], Train Loss: 0.5567
Validation Loss: 0.5893, Validation Accuracy: 72.50%
Epoch [19/25], Train Loss: 0.5587
Validation Loss: 0.5895, Validation Accuracy: 72.50%
Epoch [20/25], Train Loss: 0.5582
Validation Loss: 0.5897, Validation Accuracy: 72.50%
Epoch [21/25], Train Loss: 0.5575
Validation Loss: 0.5895, Validation Accuracy: 72.50%
Epoch [22/25], Train Loss: 0.5531
Validation Loss: 0.5892, Validation Accuracy: 72.50%
Epoch [23/25], Train Loss: 0.5566
Validation Loss: 0.5892, Validation Accuracy: 72.50%
Epoch [24/25], Train Loss: 0.5537
Validation Loss: 0.5892, Validation Accuracy: 72.50%
Epoch [25/25], Train Loss: 0.5551
Validation Loss: 0.5892, Validation Accuracy: 72.50%
Finished Training
