Data shape: torch.Size([10532, 24, 45])
Labels shape: torch.Size([10532, 1])
Data shape: torch.Size([3009, 24, 45])
Labels shape: torch.Size([3009, 1])
Data shape: torch.Size([1505, 24, 45])
Labels shape: torch.Size([1505, 1])
Epoch [1/25], Train Loss: 0.7118
Validation Loss: 0.7148, Validation Accuracy: 25.02%
Epoch [2/25], Train Loss: 0.7078
Validation Loss: 0.7103, Validation Accuracy: 25.02%
Epoch [3/25], Train Loss: 0.7042
Validation Loss: 0.7053, Validation Accuracy: 25.02%
Epoch [4/25], Train Loss: 0.7000
Validation Loss: 0.6995, Validation Accuracy: 25.02%
Epoch [5/25], Train Loss: 0.6945
Validation Loss: 0.6928, Validation Accuracy: 68.59%
Epoch [6/25], Train Loss: 0.6882
Validation Loss: 0.6841, Validation Accuracy: 74.98%
Epoch [7/25], Train Loss: 0.6779
Validation Loss: 0.6691, Validation Accuracy: 74.98%
Epoch [8/25], Train Loss: 0.6644
Validation Loss: 0.6501, Validation Accuracy: 74.98%
Epoch [9/25], Train Loss: 0.6475
Validation Loss: 0.6286, Validation Accuracy: 74.98%
Epoch [10/25], Train Loss: 0.6327
Validation Loss: 0.6102, Validation Accuracy: 74.98%
Epoch [11/25], Train Loss: 0.6237
Validation Loss: 0.5974, Validation Accuracy: 74.98%
Epoch [12/25], Train Loss: 0.6146
Validation Loss: 0.5888, Validation Accuracy: 74.98%
Epoch [13/25], Train Loss: 0.6134
Validation Loss: 0.5847, Validation Accuracy: 74.98%
Epoch [14/25], Train Loss: 0.6162
Validation Loss: 0.5830, Validation Accuracy: 74.98%
Epoch [15/25], Train Loss: 0.6188
Validation Loss: 0.5827, Validation Accuracy: 74.98%
Epoch [16/25], Train Loss: 0.6175
Validation Loss: 0.5821, Validation Accuracy: 74.98%
Epoch [17/25], Train Loss: 0.6144
Validation Loss: 0.5815, Validation Accuracy: 74.98%
Epoch [18/25], Train Loss: 0.6174
Validation Loss: 0.5813, Validation Accuracy: 74.98%
Epoch [19/25], Train Loss: 0.6149
Validation Loss: 0.5811, Validation Accuracy: 74.98%
Epoch [20/25], Train Loss: 0.6157
Validation Loss: 0.5812, Validation Accuracy: 74.98%
Epoch [21/25], Train Loss: 0.6140
Validation Loss: 0.5810, Validation Accuracy: 74.98%
Epoch [22/25], Train Loss: 0.6109
Validation Loss: 0.5803, Validation Accuracy: 74.98%
Epoch [23/25], Train Loss: 0.6140
Validation Loss: 0.5804, Validation Accuracy: 74.98%
Epoch [24/25], Train Loss: 0.6118
Validation Loss: 0.5800, Validation Accuracy: 74.98%
Epoch [25/25], Train Loss: 0.6099
Validation Loss: 0.5797, Validation Accuracy: 74.98%
Finished Training
