2024-07-31 10:47:36,714 INFO    MainThread:634808 [wandb_setup.py:_flush():76] Current SDK version is 0.17.5
2024-07-31 10:47:36,715 INFO    MainThread:634808 [wandb_setup.py:_flush():76] Configure stats pid to 634808
2024-07-31 10:47:36,715 INFO    MainThread:634808 [wandb_setup.py:_flush():76] Loading settings from /home/ykjeong/.config/wandb/settings
2024-07-31 10:47:36,715 INFO    MainThread:634808 [wandb_setup.py:_flush():76] Loading settings from /home/ykjeong/new-repo/wandb/settings
2024-07-31 10:47:36,715 INFO    MainThread:634808 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-07-31 10:47:36,715 INFO    MainThread:634808 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2024-07-31 10:47:36,715 INFO    MainThread:634808 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-07-31 10:47:36,715 INFO    MainThread:634808 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-07-31 10:47:36,715 INFO    MainThread:634808 [wandb_init.py:_log_setup():529] Logging user logs to /home/ykjeong/new-repo/wandb/run-20240731_104736-wy2utmke/logs/debug.log
2024-07-31 10:47:36,715 INFO    MainThread:634808 [wandb_init.py:_log_setup():530] Logging internal logs to /home/ykjeong/new-repo/wandb/run-20240731_104736-wy2utmke/logs/debug-internal.log
2024-07-31 10:47:36,716 INFO    MainThread:634808 [wandb_init.py:_jupyter_setup():475] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x7f4679fdc700>
2024-07-31 10:47:36,716 INFO    MainThread:634808 [wandb_init.py:init():569] calling init triggers
2024-07-31 10:47:36,716 INFO    MainThread:634808 [wandb_init.py:init():576] wandb.init called with sweep_config: {}
config: {}
2024-07-31 10:47:36,716 INFO    MainThread:634808 [wandb_init.py:init():594] re-initializing run, found existing run on stack: k3efzwxx
2024-07-31 10:47:36,718 INFO    MainThread:634808 [wandb_run.py:_finish():2107] finishing run ykjeong-info/mortality/k3efzwxx
2024-07-31 10:47:36,719 INFO    MainThread:634808 [wandb_run.py:_atexit_cleanup():2374] got exitcode: 0
2024-07-31 10:47:36,719 INFO    MainThread:634808 [wandb_run.py:_restore():2352] restore
2024-07-31 10:47:36,719 INFO    MainThread:634808 [wandb_run.py:_restore():2358] restore done
