Data shape: torch.Size([10532, 24, 45])
Labels shape: torch.Size([10532, 1])
Data shape: torch.Size([3009, 24, 45])
Labels shape: torch.Size([3009, 1])
Data shape: torch.Size([1505, 24, 45])
Labels shape: torch.Size([1505, 1])
Epoch [1/25], Train Loss: 0.7136
Validation Loss: 0.7064, Validation Accuracy: 25.02%
Epoch [2/25], Train Loss: 0.6931
Validation Loss: 0.6763, Validation Accuracy: 74.98%
Epoch [3/25], Train Loss: 0.6498
Validation Loss: 0.6014, Validation Accuracy: 74.98%
Epoch [4/25], Train Loss: 0.6206
Validation Loss: 0.5800, Validation Accuracy: 74.98%
Epoch [5/25], Train Loss: 0.6157
Validation Loss: 0.5801, Validation Accuracy: 74.98%
Epoch [6/25], Train Loss: 0.6132
Validation Loss: 0.5788, Validation Accuracy: 74.98%
Epoch [7/25], Train Loss: 0.6134
Validation Loss: 0.5794, Validation Accuracy: 74.98%
Epoch [8/25], Train Loss: 0.6097
Validation Loss: 0.5791, Validation Accuracy: 74.98%
Epoch [9/25], Train Loss: 0.6068
Validation Loss: 0.5774, Validation Accuracy: 74.98%
Epoch [10/25], Train Loss: 0.6053
Validation Loss: 0.5768, Validation Accuracy: 74.98%
Epoch [11/25], Train Loss: 0.6047
Validation Loss: 0.5768, Validation Accuracy: 74.98%
Epoch [12/25], Train Loss: 0.6088
Validation Loss: 0.5777, Validation Accuracy: 74.98%
Epoch [13/25], Train Loss: 0.6079
Validation Loss: 0.5767, Validation Accuracy: 74.98%
Epoch [14/25], Train Loss: 0.6092
Validation Loss: 0.5773, Validation Accuracy: 74.98%
Epoch [15/25], Train Loss: 0.6052
Validation Loss: 0.5756, Validation Accuracy: 74.98%
Epoch [16/25], Train Loss: 0.6026
Validation Loss: 0.5755, Validation Accuracy: 74.98%
Epoch [17/25], Train Loss: 0.6072
Validation Loss: 0.5769, Validation Accuracy: 74.98%
Epoch [18/25], Train Loss: 0.6028
Validation Loss: 0.5762, Validation Accuracy: 74.98%
Epoch [19/25], Train Loss: 0.6035
Validation Loss: 0.5759, Validation Accuracy: 74.98%
Epoch [20/25], Train Loss: 0.6025
Validation Loss: 0.5748, Validation Accuracy: 74.98%
Epoch [21/25], Train Loss: 0.6006
Validation Loss: 0.5746, Validation Accuracy: 74.98%
Epoch [22/25], Train Loss: 0.6022
Validation Loss: 0.5744, Validation Accuracy: 74.98%
Epoch [23/25], Train Loss: 0.5990
Validation Loss: 0.5737, Validation Accuracy: 74.98%
Epoch [24/25], Train Loss: 0.5991
Validation Loss: 0.5739, Validation Accuracy: 74.98%
Epoch [25/25], Train Loss: 0.5975
Validation Loss: 0.5729, Validation Accuracy: 74.98%
Finished Training
