Data shape: torch.Size([5063, 24, 45])
Labels shape: torch.Size([5063, 1])
Data shape: torch.Size([1446, 24, 45])
Labels shape: torch.Size([1446, 1])
Data shape: torch.Size([724, 24, 45])
Labels shape: torch.Size([724, 1])
Epoch [1/25], Train Loss: 0.7069
Validation Loss: 0.7023, Validation Accuracy: 41.91%
Epoch [2/25], Train Loss: 0.7063
Validation Loss: 0.7017, Validation Accuracy: 41.91%
Epoch [3/25], Train Loss: 0.7051
Validation Loss: 0.7011, Validation Accuracy: 41.91%
Epoch [4/25], Train Loss: 0.7048
Validation Loss: 0.7006, Validation Accuracy: 41.91%
Epoch [5/25], Train Loss: 0.7034
Validation Loss: 0.7000, Validation Accuracy: 41.91%
Epoch [6/25], Train Loss: 0.7020
Validation Loss: 0.6993, Validation Accuracy: 41.91%
Epoch [7/25], Train Loss: 0.7025
Validation Loss: 0.6987, Validation Accuracy: 41.91%
Epoch [8/25], Train Loss: 0.7009
Validation Loss: 0.6981, Validation Accuracy: 41.91%
Epoch [9/25], Train Loss: 0.7004
Validation Loss: 0.6974, Validation Accuracy: 41.91%
Epoch [10/25], Train Loss: 0.6985
Validation Loss: 0.6966, Validation Accuracy: 41.91%
Epoch [11/25], Train Loss: 0.6970
Validation Loss: 0.6957, Validation Accuracy: 41.91%
Epoch [12/25], Train Loss: 0.6961
Validation Loss: 0.6948, Validation Accuracy: 41.91%
Epoch [13/25], Train Loss: 0.6951
Validation Loss: 0.6937, Validation Accuracy: 41.91%
Epoch [14/25], Train Loss: 0.6948
Validation Loss: 0.6926, Validation Accuracy: 58.37%
Epoch [15/25], Train Loss: 0.6916
Validation Loss: 0.6913, Validation Accuracy: 58.16%
Epoch [16/25], Train Loss: 0.6891
Validation Loss: 0.6897, Validation Accuracy: 58.09%
Epoch [17/25], Train Loss: 0.6863
Validation Loss: 0.6877, Validation Accuracy: 58.09%
Epoch [18/25], Train Loss: 0.6835
Validation Loss: 0.6855, Validation Accuracy: 58.09%
Epoch [19/25], Train Loss: 0.6796
Validation Loss: 0.6837, Validation Accuracy: 58.09%
Epoch [20/25], Train Loss: 0.6778
Validation Loss: 0.6823, Validation Accuracy: 58.09%
Epoch [21/25], Train Loss: 0.6758
Validation Loss: 0.6814, Validation Accuracy: 58.09%
Epoch [22/25], Train Loss: 0.6742
Validation Loss: 0.6807, Validation Accuracy: 58.09%
Epoch [23/25], Train Loss: 0.6733
Validation Loss: 0.6803, Validation Accuracy: 58.09%
Epoch [24/25], Train Loss: 0.6725
Validation Loss: 0.6801, Validation Accuracy: 58.09%
Epoch [25/25], Train Loss: 0.6767
Validation Loss: 0.6800, Validation Accuracy: 58.09%
Finished Training
