Data shape: torch.Size([5063, 24, 45])
Labels shape: torch.Size([5063, 1])
Data shape: torch.Size([1446, 24, 45])
Labels shape: torch.Size([1446, 1])
Data shape: torch.Size([724, 24, 45])
Labels shape: torch.Size([724, 1])
Epoch [1/25], Train Loss: 0.6792
Validation Loss: 0.6851, Validation Accuracy: 58.09%
Epoch [2/25], Train Loss: 0.6776
Validation Loss: 0.6846, Validation Accuracy: 58.09%
Epoch [3/25], Train Loss: 0.6768
Validation Loss: 0.6841, Validation Accuracy: 58.09%
Epoch [4/25], Train Loss: 0.6761
Validation Loss: 0.6837, Validation Accuracy: 58.09%
Epoch [5/25], Train Loss: 0.6749
Validation Loss: 0.6833, Validation Accuracy: 58.09%
Epoch [6/25], Train Loss: 0.6740
Validation Loss: 0.6828, Validation Accuracy: 58.09%
Epoch [7/25], Train Loss: 0.6730
Validation Loss: 0.6823, Validation Accuracy: 58.09%
Epoch [8/25], Train Loss: 0.6728
Validation Loss: 0.6819, Validation Accuracy: 58.09%
Epoch [9/25], Train Loss: 0.6705
Validation Loss: 0.6814, Validation Accuracy: 58.09%
Epoch [10/25], Train Loss: 0.6694
Validation Loss: 0.6810, Validation Accuracy: 58.09%
Epoch [11/25], Train Loss: 0.6688
Validation Loss: 0.6806, Validation Accuracy: 58.09%
Epoch [12/25], Train Loss: 0.6679
Validation Loss: 0.6804, Validation Accuracy: 58.09%
Epoch [13/25], Train Loss: 0.6662
Validation Loss: 0.6802, Validation Accuracy: 58.09%
Epoch [14/25], Train Loss: 0.6658
Validation Loss: 0.6800, Validation Accuracy: 58.09%
Epoch [15/25], Train Loss: 0.6626
Validation Loss: 0.6801, Validation Accuracy: 58.09%
Epoch [16/25], Train Loss: 0.6641
Validation Loss: 0.6803, Validation Accuracy: 58.09%
Epoch [17/25], Train Loss: 0.6638
Validation Loss: 0.6806, Validation Accuracy: 58.09%
Epoch [18/25], Train Loss: 0.6617
Validation Loss: 0.6807, Validation Accuracy: 58.09%
Epoch [19/25], Train Loss: 0.6616
Validation Loss: 0.6809, Validation Accuracy: 58.09%
Early stopping
Finished Training
