Data shape: torch.Size([9652, 24, 45])
Labels shape: torch.Size([9652, 1])
Data shape: torch.Size([2758, 24, 45])
Labels shape: torch.Size([2758, 1])
Data shape: torch.Size([1379, 24, 45])
Labels shape: torch.Size([1379, 1])
Epoch [1/25], Train Loss: 0.6278
Validation Loss: 0.6240, Validation Accuracy: 79.19%
Epoch [2/25], Train Loss: 0.6192
Validation Loss: 0.6159, Validation Accuracy: 79.19%
Epoch [3/25], Train Loss: 0.6114
Validation Loss: 0.6062, Validation Accuracy: 79.19%
Epoch [4/25], Train Loss: 0.5978
Validation Loss: 0.5909, Validation Accuracy: 79.19%
Epoch [5/25], Train Loss: 0.5781
Validation Loss: 0.5646, Validation Accuracy: 79.19%
Epoch [6/25], Train Loss: 0.5512
Validation Loss: 0.5358, Validation Accuracy: 79.19%
Epoch [7/25], Train Loss: 0.5350
Validation Loss: 0.5220, Validation Accuracy: 79.19%
Epoch [8/25], Train Loss: 0.5284
Validation Loss: 0.5178, Validation Accuracy: 79.19%
Epoch [9/25], Train Loss: 0.5275
Validation Loss: 0.5163, Validation Accuracy: 79.19%
Epoch [10/25], Train Loss: 0.5275
Validation Loss: 0.5160, Validation Accuracy: 79.19%
Epoch [11/25], Train Loss: 0.5279
Validation Loss: 0.5158, Validation Accuracy: 79.19%
Epoch [12/25], Train Loss: 0.5261
Validation Loss: 0.5156, Validation Accuracy: 79.19%
Epoch [13/25], Train Loss: 0.5264
Validation Loss: 0.5155, Validation Accuracy: 79.19%
Epoch [14/25], Train Loss: 0.5249
Validation Loss: 0.5153, Validation Accuracy: 79.19%
Epoch [15/25], Train Loss: 0.5288
Validation Loss: 0.5157, Validation Accuracy: 79.19%
Epoch [16/25], Train Loss: 0.5228
Validation Loss: 0.5154, Validation Accuracy: 79.19%
Epoch [17/25], Train Loss: 0.5257
Validation Loss: 0.5155, Validation Accuracy: 79.19%
Epoch [18/25], Train Loss: 0.5246
Validation Loss: 0.5153, Validation Accuracy: 79.19%
Epoch [19/25], Train Loss: 0.5205
Validation Loss: 0.5151, Validation Accuracy: 79.19%
Epoch [20/25], Train Loss: 0.5249
Validation Loss: 0.5150, Validation Accuracy: 79.19%
Epoch [21/25], Train Loss: 0.5251
Validation Loss: 0.5152, Validation Accuracy: 79.19%
Epoch [22/25], Train Loss: 0.5196
Validation Loss: 0.5150, Validation Accuracy: 79.19%
Epoch [23/25], Train Loss: 0.5237
Validation Loss: 0.5149, Validation Accuracy: 79.19%
Epoch [24/25], Train Loss: 0.5220
Validation Loss: 0.5148, Validation Accuracy: 79.19%
Epoch [25/25], Train Loss: 0.5180
Validation Loss: 0.5146, Validation Accuracy: 79.19%
Finished Training
