Data shape: torch.Size([5063, 24, 45])
Labels shape: torch.Size([5063, 1])
Data shape: torch.Size([1446, 24, 45])
Labels shape: torch.Size([1446, 1])
Data shape: torch.Size([724, 24, 45])
Labels shape: torch.Size([724, 1])
Epoch [1/25], Train Loss: 0.7000
Validation Loss: 0.6963, Validation Accuracy: 41.91%
Epoch [2/25], Train Loss: 0.6985
Validation Loss: 0.6957, Validation Accuracy: 41.91%
Epoch [3/25], Train Loss: 0.6974
Validation Loss: 0.6951, Validation Accuracy: 41.91%
Epoch [4/25], Train Loss: 0.6962
Validation Loss: 0.6946, Validation Accuracy: 41.91%
Epoch [5/25], Train Loss: 0.6958
Validation Loss: 0.6941, Validation Accuracy: 41.91%
Epoch [6/25], Train Loss: 0.6954
Validation Loss: 0.6936, Validation Accuracy: 41.91%
Epoch [7/25], Train Loss: 0.6941
Validation Loss: 0.6931, Validation Accuracy: 56.64%
Epoch [8/25], Train Loss: 0.6928
Validation Loss: 0.6926, Validation Accuracy: 58.09%
Epoch [9/25], Train Loss: 0.6932
Validation Loss: 0.6921, Validation Accuracy: 58.09%
Epoch [10/25], Train Loss: 0.6917
Validation Loss: 0.6917, Validation Accuracy: 58.09%
Epoch [11/25], Train Loss: 0.6916
Validation Loss: 0.6912, Validation Accuracy: 58.09%
Epoch [12/25], Train Loss: 0.6903
Validation Loss: 0.6908, Validation Accuracy: 58.09%
Epoch [13/25], Train Loss: 0.6898
Validation Loss: 0.6904, Validation Accuracy: 58.09%
Epoch [14/25], Train Loss: 0.6882
Validation Loss: 0.6899, Validation Accuracy: 58.09%
