Data shape: torch.Size([5063, 24, 45])
Labels shape: torch.Size([5063, 1])
Data shape: torch.Size([1446, 24, 45])
Labels shape: torch.Size([1446, 1])
Data shape: torch.Size([724, 24, 45])
Labels shape: torch.Size([724, 1])
Epoch [1/25], Train Loss: 0.6959
Validation Loss: 0.6940, Validation Accuracy: 41.91%
Epoch [2/25], Train Loss: 0.6927
Validation Loss: 0.6925, Validation Accuracy: 58.09%
Epoch [3/25], Train Loss: 0.6920
Validation Loss: 0.6911, Validation Accuracy: 58.09%
Epoch [4/25], Train Loss: 0.6898
Validation Loss: 0.6898, Validation Accuracy: 58.09%
Epoch [5/25], Train Loss: 0.6865
Validation Loss: 0.6885, Validation Accuracy: 58.09%
Epoch [6/25], Train Loss: 0.6850
Validation Loss: 0.6872, Validation Accuracy: 58.09%
Epoch [7/25], Train Loss: 0.6843
Validation Loss: 0.6860, Validation Accuracy: 58.09%
Epoch [8/25], Train Loss: 0.6822
Validation Loss: 0.6848, Validation Accuracy: 58.09%
Epoch [9/25], Train Loss: 0.6782
Validation Loss: 0.6836, Validation Accuracy: 58.09%
Epoch [10/25], Train Loss: 0.6750
Validation Loss: 0.6825, Validation Accuracy: 58.09%
Epoch [11/25], Train Loss: 0.6723
Validation Loss: 0.6814, Validation Accuracy: 58.09%
Epoch [12/25], Train Loss: 0.6718
Validation Loss: 0.6805, Validation Accuracy: 58.09%
Epoch [13/25], Train Loss: 0.6717
Validation Loss: 0.6800, Validation Accuracy: 58.09%
Epoch [14/25], Train Loss: 0.6677
Validation Loss: 0.6799, Validation Accuracy: 58.09%
Epoch [15/25], Train Loss: 0.6699
Validation Loss: 0.6798, Validation Accuracy: 58.09%
Epoch [16/25], Train Loss: 0.6674
Validation Loss: 0.6798, Validation Accuracy: 58.09%
Epoch [17/25], Train Loss: 0.6634
Validation Loss: 0.6801, Validation Accuracy: 58.09%
Epoch [18/25], Train Loss: 0.6667
Validation Loss: 0.6802, Validation Accuracy: 58.09%
Epoch [19/25], Train Loss: 0.6651
Validation Loss: 0.6803, Validation Accuracy: 58.09%
Epoch [20/25], Train Loss: 0.6651
Validation Loss: 0.6803, Validation Accuracy: 58.09%
Early stopping
Finished Training
