Data shape: torch.Size([9652, 24, 45])
Labels shape: torch.Size([9652, 1])
Data shape: torch.Size([2758, 24, 45])
Labels shape: torch.Size([2758, 1])
Data shape: torch.Size([1379, 24, 45])
Labels shape: torch.Size([1379, 1])
Epoch [1/25], Train Loss: 0.6499
Validation Loss: 0.6418, Validation Accuracy: 81.80%
Epoch [2/25], Train Loss: 0.6473
Validation Loss: 0.6390, Validation Accuracy: 81.80%
Epoch [3/25], Train Loss: 0.6439
Validation Loss: 0.6361, Validation Accuracy: 81.80%
Epoch [4/25], Train Loss: 0.6409
Validation Loss: 0.6329, Validation Accuracy: 81.80%
Epoch [5/25], Train Loss: 0.6375
Validation Loss: 0.6287, Validation Accuracy: 81.80%
Epoch [6/25], Train Loss: 0.6333
Validation Loss: 0.6227, Validation Accuracy: 81.80%
Epoch [7/25], Train Loss: 0.6277
Validation Loss: 0.6140, Validation Accuracy: 81.80%
Epoch [8/25], Train Loss: 0.6167
Validation Loss: 0.6012, Validation Accuracy: 81.80%
Epoch [9/25], Train Loss: 0.6025
Validation Loss: 0.5827, Validation Accuracy: 81.80%
Epoch [10/25], Train Loss: 0.5854
Validation Loss: 0.5610, Validation Accuracy: 81.80%
Epoch [11/25], Train Loss: 0.5707
Validation Loss: 0.5406, Validation Accuracy: 81.80%
Epoch [12/25], Train Loss: 0.5596
Validation Loss: 0.5255, Validation Accuracy: 81.80%
Epoch [13/25], Train Loss: 0.5506
Validation Loss: 0.5148, Validation Accuracy: 81.80%
Epoch [14/25], Train Loss: 0.5468
Validation Loss: 0.5082, Validation Accuracy: 81.80%
Epoch [15/25], Train Loss: 0.5481
Validation Loss: 0.5054, Validation Accuracy: 81.80%
Epoch [16/25], Train Loss: 0.5511
Validation Loss: 0.5044, Validation Accuracy: 81.80%
Epoch [17/25], Train Loss: 0.5471
Validation Loss: 0.5028, Validation Accuracy: 81.80%
Epoch [18/25], Train Loss: 0.5413
Validation Loss: 0.5013, Validation Accuracy: 81.80%
Epoch [19/25], Train Loss: 0.5460
Validation Loss: 0.5010, Validation Accuracy: 81.80%
Epoch [20/25], Train Loss: 0.5422
Validation Loss: 0.5001, Validation Accuracy: 81.80%
Epoch [21/25], Train Loss: 0.5441
Validation Loss: 0.4998, Validation Accuracy: 81.80%
Epoch [22/25], Train Loss: 0.5455
Validation Loss: 0.5001, Validation Accuracy: 81.80%
Epoch [23/25], Train Loss: 0.5419
Validation Loss: 0.4999, Validation Accuracy: 81.80%
Epoch [24/25], Train Loss: 0.5478
Validation Loss: 0.5005, Validation Accuracy: 81.80%
Epoch [25/25], Train Loss: 0.5467
Validation Loss: 0.5006, Validation Accuracy: 81.80%
Finished Training
