Data shape: torch.Size([9462, 24, 45])
Labels shape: torch.Size([9462, 1])
Data shape: torch.Size([2704, 24, 45])
Labels shape: torch.Size([2704, 1])
Data shape: torch.Size([1352, 24, 45])
Labels shape: torch.Size([1352, 1])
Epoch [1/25], Train Loss: 0.7386
Validation Loss: 0.7355, Validation Accuracy: 19.53%
Epoch [2/25], Train Loss: 0.7291
Validation Loss: 0.7247, Validation Accuracy: 19.53%
Epoch [3/25], Train Loss: 0.7175
Validation Loss: 0.7070, Validation Accuracy: 19.53%
Epoch [4/25], Train Loss: 0.6992
Validation Loss: 0.6805, Validation Accuracy: 80.44%
Epoch [5/25], Train Loss: 0.6697
Validation Loss: 0.6443, Validation Accuracy: 80.47%
Epoch [6/25], Train Loss: 0.6332
Validation Loss: 0.5937, Validation Accuracy: 80.47%
Epoch [7/25], Train Loss: 0.5998
Validation Loss: 0.5507, Validation Accuracy: 80.47%
Epoch [8/25], Train Loss: 0.5738
Validation Loss: 0.5273, Validation Accuracy: 80.47%
Epoch [9/25], Train Loss: 0.5641
Validation Loss: 0.5176, Validation Accuracy: 80.47%
Epoch [10/25], Train Loss: 0.5669
Validation Loss: 0.5149, Validation Accuracy: 80.47%
Epoch [11/25], Train Loss: 0.5575
Validation Loss: 0.5132, Validation Accuracy: 80.47%
Epoch [12/25], Train Loss: 0.5538
Validation Loss: 0.5123, Validation Accuracy: 80.47%
Epoch [13/25], Train Loss: 0.5559
Validation Loss: 0.5121, Validation Accuracy: 80.47%
Epoch [14/25], Train Loss: 0.5519
Validation Loss: 0.5114, Validation Accuracy: 80.47%
Epoch [15/25], Train Loss: 0.5570
Validation Loss: 0.5126, Validation Accuracy: 80.47%
Epoch [16/25], Train Loss: 0.5532
Validation Loss: 0.5129, Validation Accuracy: 80.47%
Epoch [17/25], Train Loss: 0.5500
Validation Loss: 0.5125, Validation Accuracy: 80.47%
Epoch [18/25], Train Loss: 0.5474
Validation Loss: 0.5121, Validation Accuracy: 80.47%
Epoch [19/25], Train Loss: 0.5493
Validation Loss: 0.5120, Validation Accuracy: 80.47%
Early stopping
Finished Training
