Data shape: torch.Size([9462, 24, 45])
Labels shape: torch.Size([9462, 1])
Data shape: torch.Size([2704, 24, 45])
Labels shape: torch.Size([2704, 1])
Data shape: torch.Size([1352, 24, 45])
Labels shape: torch.Size([1352, 1])
Epoch [1/25], Train Loss: 0.7409
Validation Loss: 0.7355, Validation Accuracy: 19.53%
Epoch [2/25], Train Loss: 0.7325
Validation Loss: 0.7274, Validation Accuracy: 19.53%
Epoch [3/25], Train Loss: 0.7249
Validation Loss: 0.7201, Validation Accuracy: 19.53%
Epoch [4/25], Train Loss: 0.7177
Validation Loss: 0.7125, Validation Accuracy: 19.53%
Epoch [5/25], Train Loss: 0.7095
Validation Loss: 0.7024, Validation Accuracy: 19.53%
Epoch [6/25], Train Loss: 0.6979
Validation Loss: 0.6834, Validation Accuracy: 80.44%
Epoch [7/25], Train Loss: 0.6704
Validation Loss: 0.6430, Validation Accuracy: 80.47%
Epoch [8/25], Train Loss: 0.6266
Validation Loss: 0.5914, Validation Accuracy: 80.47%
Epoch [9/25], Train Loss: 0.5912
Validation Loss: 0.5517, Validation Accuracy: 80.47%
Epoch [10/25], Train Loss: 0.5676
Validation Loss: 0.5300, Validation Accuracy: 80.47%
Epoch [11/25], Train Loss: 0.5603
Validation Loss: 0.5195, Validation Accuracy: 80.47%
Epoch [12/25], Train Loss: 0.5553
Validation Loss: 0.5155, Validation Accuracy: 80.47%
Epoch [13/25], Train Loss: 0.5546
Validation Loss: 0.5131, Validation Accuracy: 80.47%
Epoch [14/25], Train Loss: 0.5568
Validation Loss: 0.5131, Validation Accuracy: 80.47%
Epoch [15/25], Train Loss: 0.5500
Validation Loss: 0.5120, Validation Accuracy: 80.47%
Epoch [16/25], Train Loss: 0.5506
Validation Loss: 0.5116, Validation Accuracy: 80.47%
Epoch [17/25], Train Loss: 0.5450
Validation Loss: 0.5108, Validation Accuracy: 80.47%
Epoch [18/25], Train Loss: 0.5520
Validation Loss: 0.5113, Validation Accuracy: 80.47%
Epoch [19/25], Train Loss: 0.5466
Validation Loss: 0.5105, Validation Accuracy: 80.47%
Epoch [20/25], Train Loss: 0.5493
Validation Loss: 0.5111, Validation Accuracy: 80.47%
Epoch [21/25], Train Loss: 0.5488
Validation Loss: 0.5112, Validation Accuracy: 80.47%
Epoch [22/25], Train Loss: 0.5446
Validation Loss: 0.5113, Validation Accuracy: 80.47%
Epoch [23/25], Train Loss: 0.5463
Validation Loss: 0.5112, Validation Accuracy: 80.47%
Epoch [24/25], Train Loss: 0.5530
Validation Loss: 0.5118, Validation Accuracy: 80.47%
Early stopping
Finished Training
