Epoch [1/25], Train Loss: 0.6976
Validation Loss: 0.6947, Validation Accuracy: 19.53%
Epoch [2/25], Train Loss: 0.6937
Validation Loss: 0.6917, Validation Accuracy: 80.47%
Epoch [3/25], Train Loss: 0.6909
Validation Loss: 0.6886, Validation Accuracy: 80.47%
Epoch [4/25], Train Loss: 0.6879
Validation Loss: 0.6855, Validation Accuracy: 80.47%
Epoch [5/25], Train Loss: 0.6847
Validation Loss: 0.6822, Validation Accuracy: 80.47%
Epoch [6/25], Train Loss: 0.6813
Validation Loss: 0.6784, Validation Accuracy: 80.47%
Epoch [7/25], Train Loss: 0.6777
Validation Loss: 0.6741, Validation Accuracy: 80.47%
Epoch [8/25], Train Loss: 0.6737
Validation Loss: 0.6688, Validation Accuracy: 80.47%
Epoch [9/25], Train Loss: 0.6693
Validation Loss: 0.6629, Validation Accuracy: 80.47%
Epoch [10/25], Train Loss: 0.6624
Validation Loss: 0.6549, Validation Accuracy: 80.47%
Epoch [11/25], Train Loss: 0.6551
Validation Loss: 0.6437, Validation Accuracy: 80.47%
Epoch [12/25], Train Loss: 0.6420
Validation Loss: 0.6274, Validation Accuracy: 80.47%
Epoch [13/25], Train Loss: 0.6287
Validation Loss: 0.6079, Validation Accuracy: 80.47%
Epoch [14/25], Train Loss: 0.6081
Validation Loss: 0.5866, Validation Accuracy: 80.47%
Epoch [15/25], Train Loss: 0.5918
Validation Loss: 0.5679, Validation Accuracy: 80.47%
Epoch [16/25], Train Loss: 0.5761
Validation Loss: 0.5518, Validation Accuracy: 80.47%
Epoch [17/25], Train Loss: 0.5665
Validation Loss: 0.5396, Validation Accuracy: 80.47%
Epoch [18/25], Train Loss: 0.5641
Validation Loss: 0.5312, Validation Accuracy: 80.47%
Epoch [19/25], Train Loss: 0.5622
Validation Loss: 0.5259, Validation Accuracy: 80.47%
Epoch [20/25], Train Loss: 0.5556
Validation Loss: 0.5219, Validation Accuracy: 80.47%
Epoch [21/25], Train Loss: 0.5567
Validation Loss: 0.5189, Validation Accuracy: 80.47%
Epoch [22/25], Train Loss: 0.5504
Validation Loss: 0.5162, Validation Accuracy: 80.47%
Epoch [23/25], Train Loss: 0.5529
Validation Loss: 0.5142, Validation Accuracy: 80.47%
Epoch [24/25], Train Loss: 0.5544
Validation Loss: 0.5131, Validation Accuracy: 80.47%
Epoch [25/25], Train Loss: 0.5492
Validation Loss: 0.5120, Validation Accuracy: 80.47%
Finished Training
