Epoch [1/25], Train Loss: 0.7032
Validation Loss: 0.7053, Validation Accuracy: 35.44%
Epoch [2/25], Train Loss: 0.6997
Validation Loss: 0.7026, Validation Accuracy: 35.44%
Epoch [3/25], Train Loss: 0.6985
Validation Loss: 0.6999, Validation Accuracy: 35.44%
Epoch [4/25], Train Loss: 0.6972
Validation Loss: 0.6973, Validation Accuracy: 35.44%
Epoch [5/25], Train Loss: 0.6963
Validation Loss: 0.6947, Validation Accuracy: 35.44%
Epoch [6/25], Train Loss: 0.6950
Validation Loss: 0.6920, Validation Accuracy: 64.56%
Epoch [7/25], Train Loss: 0.6935
Validation Loss: 0.6894, Validation Accuracy: 64.56%
Epoch [8/25], Train Loss: 0.6913
Validation Loss: 0.6865, Validation Accuracy: 64.56%
Epoch [9/25], Train Loss: 0.6905
Validation Loss: 0.6836, Validation Accuracy: 64.56%
Epoch [10/25], Train Loss: 0.6886
Validation Loss: 0.6805, Validation Accuracy: 64.56%
Epoch [11/25], Train Loss: 0.6873
Validation Loss: 0.6776, Validation Accuracy: 64.56%
Epoch [12/25], Train Loss: 0.6875
Validation Loss: 0.6754, Validation Accuracy: 64.56%
Epoch [13/25], Train Loss: 0.6853
Validation Loss: 0.6728, Validation Accuracy: 64.56%
Epoch [14/25], Train Loss: 0.6847
Validation Loss: 0.6710, Validation Accuracy: 64.56%
Epoch [15/25], Train Loss: 0.6853
Validation Loss: 0.6698, Validation Accuracy: 64.56%
Epoch [16/25], Train Loss: 0.6849
Validation Loss: 0.6690, Validation Accuracy: 64.56%
Epoch [17/25], Train Loss: 0.6837
Validation Loss: 0.6679, Validation Accuracy: 64.56%
Epoch [18/25], Train Loss: 0.6841
Validation Loss: 0.6672, Validation Accuracy: 64.56%
Epoch [19/25], Train Loss: 0.6819
Validation Loss: 0.6667, Validation Accuracy: 64.56%
Epoch [20/25], Train Loss: 0.6813
Validation Loss: 0.6660, Validation Accuracy: 64.56%
Epoch [21/25], Train Loss: 0.6840
Validation Loss: 0.6659, Validation Accuracy: 64.56%
Epoch [22/25], Train Loss: 0.6801
Validation Loss: 0.6653, Validation Accuracy: 64.56%
Epoch [23/25], Train Loss: 0.6824
Validation Loss: 0.6654, Validation Accuracy: 64.56%
Epoch [24/25], Train Loss: 0.6827
Validation Loss: 0.6654, Validation Accuracy: 64.56%
Epoch [25/25], Train Loss: 0.6837
Validation Loss: 0.6657, Validation Accuracy: 64.56%
Finished Training
