Epoch [1/25], Train Loss: 0.6887
Validation Loss: 0.6832, Validation Accuracy: 64.56%
Epoch [2/25], Train Loss: 0.6890
Validation Loss: 0.6829, Validation Accuracy: 64.56%
Epoch [3/25], Train Loss: 0.6878
Validation Loss: 0.6826, Validation Accuracy: 64.56%
Epoch [4/25], Train Loss: 0.6867
Validation Loss: 0.6823, Validation Accuracy: 64.56%
Epoch [5/25], Train Loss: 0.6881
Validation Loss: 0.6819, Validation Accuracy: 64.56%
Epoch [6/25], Train Loss: 0.6872
Validation Loss: 0.6816, Validation Accuracy: 64.56%
Epoch [7/25], Train Loss: 0.6870
Validation Loss: 0.6813, Validation Accuracy: 64.56%
Epoch [8/25], Train Loss: 0.6879
Validation Loss: 0.6810, Validation Accuracy: 64.56%
Epoch [9/25], Train Loss: 0.6872
Validation Loss: 0.6807, Validation Accuracy: 64.56%
Epoch [10/25], Train Loss: 0.6877
Validation Loss: 0.6804, Validation Accuracy: 64.56%
Epoch [11/25], Train Loss: 0.6872
Validation Loss: 0.6801, Validation Accuracy: 64.56%
Epoch [12/25], Train Loss: 0.6868
Validation Loss: 0.6798, Validation Accuracy: 64.56%
Epoch [13/25], Train Loss: 0.6861
Validation Loss: 0.6795, Validation Accuracy: 64.56%
Epoch [14/25], Train Loss: 0.6868
Validation Loss: 0.6793, Validation Accuracy: 64.56%
Epoch [15/25], Train Loss: 0.6870
Validation Loss: 0.6790, Validation Accuracy: 64.56%
Epoch [16/25], Train Loss: 0.6867
Validation Loss: 0.6787, Validation Accuracy: 64.56%
Epoch [17/25], Train Loss: 0.6861
Validation Loss: 0.6785, Validation Accuracy: 64.56%
Epoch [18/25], Train Loss: 0.6855
Validation Loss: 0.6782, Validation Accuracy: 64.56%
Epoch [19/25], Train Loss: 0.6854
Validation Loss: 0.6780, Validation Accuracy: 64.56%
Epoch [20/25], Train Loss: 0.6851
Validation Loss: 0.6777, Validation Accuracy: 64.56%
Epoch [21/25], Train Loss: 0.6861
Validation Loss: 0.6775, Validation Accuracy: 64.56%
Epoch [22/25], Train Loss: 0.6857
Validation Loss: 0.6773, Validation Accuracy: 64.56%
Epoch [23/25], Train Loss: 0.6851
Validation Loss: 0.6770, Validation Accuracy: 64.56%
Epoch [24/25], Train Loss: 0.6853
Validation Loss: 0.6767, Validation Accuracy: 64.56%
Epoch [25/25], Train Loss: 0.6843
Validation Loss: 0.6765, Validation Accuracy: 64.56%
