Epoch [1/25], Train Loss: 0.6835
Validation Loss: 0.6740, Validation Accuracy: 64.56%
Epoch [2/25], Train Loss: 0.6827
Validation Loss: 0.6727, Validation Accuracy: 64.56%
Epoch [3/25], Train Loss: 0.6824
Validation Loss: 0.6716, Validation Accuracy: 64.56%
Epoch [4/25], Train Loss: 0.6819
Validation Loss: 0.6705, Validation Accuracy: 64.56%
Epoch [5/25], Train Loss: 0.6809
Validation Loss: 0.6695, Validation Accuracy: 64.56%
Epoch [6/25], Train Loss: 0.6803
Validation Loss: 0.6685, Validation Accuracy: 64.56%
Epoch [7/25], Train Loss: 0.6806
Validation Loss: 0.6677, Validation Accuracy: 64.56%
Epoch [8/25], Train Loss: 0.6795
Validation Loss: 0.6670, Validation Accuracy: 64.56%
Epoch [9/25], Train Loss: 0.6801
Validation Loss: 0.6662, Validation Accuracy: 64.56%
Epoch [10/25], Train Loss: 0.6796
Validation Loss: 0.6655, Validation Accuracy: 64.56%
Epoch [11/25], Train Loss: 0.6795
Validation Loss: 0.6648, Validation Accuracy: 64.56%
Epoch [12/25], Train Loss: 0.6786
Validation Loss: 0.6642, Validation Accuracy: 64.56%
Epoch [13/25], Train Loss: 0.6796
Validation Loss: 0.6637, Validation Accuracy: 64.56%
Epoch [14/25], Train Loss: 0.6790
Validation Loss: 0.6632, Validation Accuracy: 64.56%
Epoch [15/25], Train Loss: 0.6794
Validation Loss: 0.6629, Validation Accuracy: 64.56%
Epoch [16/25], Train Loss: 0.6791
Validation Loss: 0.6625, Validation Accuracy: 64.56%
Epoch [17/25], Train Loss: 0.6788
Validation Loss: 0.6621, Validation Accuracy: 64.56%
Epoch [18/25], Train Loss: 0.6781
Validation Loss: 0.6617, Validation Accuracy: 64.56%
Epoch [19/25], Train Loss: 0.6797
Validation Loss: 0.6615, Validation Accuracy: 64.56%
