/home/mdhi/anaconda3/envs/predict/lib/python3.10/site-packages/torch/cuda/__init__.py:118: UserWarning: CUDA initialization: Unexpected error from cudaGetDeviceCount(). Did you run some cuda functions before calling NumCudaDevices() that might have already set an error? Error 2: out of memory (Triggered internally at ../c10/cuda/CUDAFunctions.cpp:108.)
  return torch._C._cuda_getDeviceCount() > 0
Epoch [1/25], Train Loss: 0.6939
Validation Loss: 0.6927, Validation Accuracy: 64.56%
Epoch [2/25], Train Loss: 0.6931
Validation Loss: 0.6922, Validation Accuracy: 64.56%
Epoch [3/25], Train Loss: 0.6927
Validation Loss: 0.6917, Validation Accuracy: 64.56%
Epoch [4/25], Train Loss: 0.6921
Validation Loss: 0.6912, Validation Accuracy: 64.56%
Epoch [5/25], Train Loss: 0.6925
Validation Loss: 0.6907, Validation Accuracy: 64.56%
Epoch [6/25], Train Loss: 0.6920
Validation Loss: 0.6902, Validation Accuracy: 64.56%
Epoch [7/25], Train Loss: 0.6913
Validation Loss: 0.6897, Validation Accuracy: 64.56%
Epoch [8/25], Train Loss: 0.6917
Validation Loss: 0.6892, Validation Accuracy: 64.56%
Epoch [9/25], Train Loss: 0.6910
Validation Loss: 0.6888, Validation Accuracy: 64.56%
Epoch [10/25], Train Loss: 0.6903
Validation Loss: 0.6883, Validation Accuracy: 64.56%
Epoch [11/25], Train Loss: 0.6904
Validation Loss: 0.6878, Validation Accuracy: 64.56%
Epoch [12/25], Train Loss: 0.6896
Validation Loss: 0.6873, Validation Accuracy: 64.56%
Epoch [13/25], Train Loss: 0.6897
Validation Loss: 0.6868, Validation Accuracy: 64.56%
Epoch [14/25], Train Loss: 0.6888
Validation Loss: 0.6863, Validation Accuracy: 64.56%
Epoch [15/25], Train Loss: 0.6893
Validation Loss: 0.6858, Validation Accuracy: 64.56%
Epoch [16/25], Train Loss: 0.6893
Validation Loss: 0.6853, Validation Accuracy: 64.56%
Epoch [17/25], Train Loss: 0.6882
Validation Loss: 0.6847, Validation Accuracy: 64.56%
Epoch [18/25], Train Loss: 0.6885
Validation Loss: 0.6842, Validation Accuracy: 64.56%
Epoch [19/25], Train Loss: 0.6884
Validation Loss: 0.6837, Validation Accuracy: 64.56%
Epoch [20/25], Train Loss: 0.6881
Validation Loss: 0.6832, Validation Accuracy: 64.56%
Epoch [21/25], Train Loss: 0.6874
Validation Loss: 0.6827, Validation Accuracy: 64.56%
Epoch [22/25], Train Loss: 0.6864
Validation Loss: 0.6820, Validation Accuracy: 64.56%
Epoch [23/25], Train Loss: 0.6861
Validation Loss: 0.6814, Validation Accuracy: 64.56%
Epoch [24/25], Train Loss: 0.6868
Validation Loss: 0.6808, Validation Accuracy: 64.56%
Epoch [25/25], Train Loss: 0.6863
Validation Loss: 0.6802, Validation Accuracy: 64.56%
Finished Training
