Epoch [1/25], Train Loss: 0.6975
Validation Loss: 0.6981, Validation Accuracy: 35.44%
Epoch [2/25], Train Loss: 0.6962
Validation Loss: 0.6966, Validation Accuracy: 35.44%
Epoch [3/25], Train Loss: 0.6954
Validation Loss: 0.6952, Validation Accuracy: 35.44%
Epoch [4/25], Train Loss: 0.6949
Validation Loss: 0.6938, Validation Accuracy: 35.44%
Epoch [5/25], Train Loss: 0.6936
Validation Loss: 0.6923, Validation Accuracy: 64.56%
Epoch [6/25], Train Loss: 0.6923
Validation Loss: 0.6908, Validation Accuracy: 64.56%
Epoch [7/25], Train Loss: 0.6922
Validation Loss: 0.6894, Validation Accuracy: 64.56%
Epoch [8/25], Train Loss: 0.6914
Validation Loss: 0.6879, Validation Accuracy: 64.56%
Epoch [9/25], Train Loss: 0.6904
Validation Loss: 0.6864, Validation Accuracy: 64.56%
Epoch [10/25], Train Loss: 0.6896
Validation Loss: 0.6848, Validation Accuracy: 64.56%
Epoch [11/25], Train Loss: 0.6887
Validation Loss: 0.6832, Validation Accuracy: 64.56%
Epoch [12/25], Train Loss: 0.6879
Validation Loss: 0.6815, Validation Accuracy: 64.56%
Epoch [13/25], Train Loss: 0.6867
Validation Loss: 0.6797, Validation Accuracy: 64.56%
Epoch [14/25], Train Loss: 0.6869
Validation Loss: 0.6779, Validation Accuracy: 64.56%
Epoch [15/25], Train Loss: 0.6860
Validation Loss: 0.6764, Validation Accuracy: 64.56%
Epoch [16/25], Train Loss: 0.6847
Validation Loss: 0.6747, Validation Accuracy: 64.56%
Epoch [17/25], Train Loss: 0.6855
Validation Loss: 0.6732, Validation Accuracy: 64.56%
Epoch [18/25], Train Loss: 0.6836
Validation Loss: 0.6717, Validation Accuracy: 64.56%
