Epoch [1/25], Train Loss: 0.6903
Validation Loss: 0.6868, Validation Accuracy: 64.56%
Epoch [2/25], Train Loss: 0.6896
Validation Loss: 0.6859, Validation Accuracy: 64.56%
Epoch [3/25], Train Loss: 0.6892
Validation Loss: 0.6850, Validation Accuracy: 64.56%
Epoch [4/25], Train Loss: 0.6882
Validation Loss: 0.6841, Validation Accuracy: 64.56%
Epoch [5/25], Train Loss: 0.6879
Validation Loss: 0.6832, Validation Accuracy: 64.56%
Epoch [6/25], Train Loss: 0.6876
Validation Loss: 0.6823, Validation Accuracy: 64.56%
Epoch [7/25], Train Loss: 0.6873
Validation Loss: 0.6813, Validation Accuracy: 64.56%
Epoch [8/25], Train Loss: 0.6870
Validation Loss: 0.6805, Validation Accuracy: 64.56%
Epoch [9/25], Train Loss: 0.6859
Validation Loss: 0.6795, Validation Accuracy: 64.56%
Epoch [10/25], Train Loss: 0.6863
Validation Loss: 0.6785, Validation Accuracy: 64.56%
Epoch [11/25], Train Loss: 0.6847
Validation Loss: 0.6775, Validation Accuracy: 64.56%
Epoch [12/25], Train Loss: 0.6841
Validation Loss: 0.6764, Validation Accuracy: 64.56%
Epoch [13/25], Train Loss: 0.6840
Validation Loss: 0.6754, Validation Accuracy: 64.56%
