/home/mdhi/anaconda3/envs/predict/lib/python3.10/site-packages/torch/cuda/__init__.py:118: UserWarning: CUDA initialization: Unexpected error from cudaGetDeviceCount(). Did you run some cuda functions before calling NumCudaDevices() that might have already set an error? Error 2: out of memory (Triggered internally at ../c10/cuda/CUDAFunctions.cpp:108.)
  return torch._C._cuda_getDeviceCount() > 0
Epoch [1/25], Train Loss: 0.6972
Validation Loss: 0.7004, Validation Accuracy: 35.44%
Epoch [2/25], Train Loss: 0.6973
Validation Loss: 0.6985, Validation Accuracy: 35.44%
Epoch [3/25], Train Loss: 0.6958
Validation Loss: 0.6966, Validation Accuracy: 35.44%
Epoch [4/25], Train Loss: 0.6953
Validation Loss: 0.6947, Validation Accuracy: 35.44%
Epoch [5/25], Train Loss: 0.6943
Validation Loss: 0.6927, Validation Accuracy: 64.56%
Epoch [6/25], Train Loss: 0.6922
Validation Loss: 0.6906, Validation Accuracy: 64.56%
Epoch [7/25], Train Loss: 0.6911
Validation Loss: 0.6884, Validation Accuracy: 64.56%
Epoch [8/25], Train Loss: 0.6901
Validation Loss: 0.6862, Validation Accuracy: 64.56%
Epoch [9/25], Train Loss: 0.6899
Validation Loss: 0.6840, Validation Accuracy: 64.56%
Epoch [10/25], Train Loss: 0.6886
Validation Loss: 0.6820, Validation Accuracy: 64.56%
Epoch [11/25], Train Loss: 0.6873
Validation Loss: 0.6795, Validation Accuracy: 64.56%
Epoch [12/25], Train Loss: 0.6873
Validation Loss: 0.6774, Validation Accuracy: 64.56%
Epoch [13/25], Train Loss: 0.6870
Validation Loss: 0.6751, Validation Accuracy: 64.56%
Epoch [14/25], Train Loss: 0.6858
Validation Loss: 0.6737, Validation Accuracy: 64.56%
Epoch [15/25], Train Loss: 0.6842
Validation Loss: 0.6721, Validation Accuracy: 64.56%
Epoch [16/25], Train Loss: 0.6843
Validation Loss: 0.6702, Validation Accuracy: 64.56%
Epoch [17/25], Train Loss: 0.6829
Validation Loss: 0.6688, Validation Accuracy: 64.56%
Epoch [18/25], Train Loss: 0.6843
Validation Loss: 0.6684, Validation Accuracy: 64.56%
Epoch [19/25], Train Loss: 0.6811
Validation Loss: 0.6672, Validation Accuracy: 64.56%
Epoch [20/25], Train Loss: 0.6827
Validation Loss: 0.6668, Validation Accuracy: 64.56%
Epoch [21/25], Train Loss: 0.6840
Validation Loss: 0.6658, Validation Accuracy: 64.56%
Epoch [22/25], Train Loss: 0.6819
Validation Loss: 0.6656, Validation Accuracy: 64.56%
Epoch [23/25], Train Loss: 0.6833
