Epoch [1/25], Train Loss: 0.6847
Validation Loss: 0.6774, Validation Accuracy: 64.56%
Epoch [2/25], Train Loss: 0.6844
Validation Loss: 0.6756, Validation Accuracy: 64.56%
Epoch [3/25], Train Loss: 0.6831
Validation Loss: 0.6741, Validation Accuracy: 64.56%
Epoch [4/25], Train Loss: 0.6822
Validation Loss: 0.6725, Validation Accuracy: 64.56%
Epoch [5/25], Train Loss: 0.6821
Validation Loss: 0.6711, Validation Accuracy: 64.56%
Epoch [6/25], Train Loss: 0.6811
Validation Loss: 0.6699, Validation Accuracy: 64.56%
Epoch [7/25], Train Loss: 0.6808
Validation Loss: 0.6685, Validation Accuracy: 64.56%
Epoch [8/25], Train Loss: 0.6799
Validation Loss: 0.6673, Validation Accuracy: 64.56%
Epoch [9/25], Train Loss: 0.6795
Validation Loss: 0.6664, Validation Accuracy: 64.56%
Epoch [10/25], Train Loss: 0.6795
Validation Loss: 0.6652, Validation Accuracy: 64.56%
Epoch [11/25], Train Loss: 0.6781
Validation Loss: 0.6642, Validation Accuracy: 64.56%
Epoch [12/25], Train Loss: 0.6795
Validation Loss: 0.6635, Validation Accuracy: 64.56%
Epoch [13/25], Train Loss: 0.6804
Validation Loss: 0.6630, Validation Accuracy: 64.56%
Epoch [14/25], Train Loss: 0.6792
Validation Loss: 0.6625, Validation Accuracy: 64.56%
Epoch [15/25], Train Loss: 0.6793
Validation Loss: 0.6619, Validation Accuracy: 64.56%
Epoch [16/25], Train Loss: 0.6784
Validation Loss: 0.6614, Validation Accuracy: 64.56%
Epoch [17/25], Train Loss: 0.6787
Validation Loss: 0.6611, Validation Accuracy: 64.56%
Epoch [18/25], Train Loss: 0.6785
Validation Loss: 0.6606, Validation Accuracy: 64.56%
Epoch [19/25], Train Loss: 0.6784
Validation Loss: 0.6605, Validation Accuracy: 64.56%
Epoch [20/25], Train Loss: 0.6790
Validation Loss: 0.6602, Validation Accuracy: 64.56%
Epoch [21/25], Train Loss: 0.6782
Validation Loss: 0.6600, Validation Accuracy: 64.56%
Epoch [22/25], Train Loss: 0.6781
Validation Loss: 0.6598, Validation Accuracy: 64.56%
Epoch [23/25], Train Loss: 0.6784
Validation Loss: 0.6596, Validation Accuracy: 64.56%
Epoch [24/25], Train Loss: 0.6775
Validation Loss: 0.6594, Validation Accuracy: 64.56%
Epoch [25/25], Train Loss: 0.6783
Validation Loss: 0.6594, Validation Accuracy: 64.56%
Finished Training
