Epoch [1/25], Train Loss: 0.6864
Validation Loss: 0.6788, Validation Accuracy: 64.56%
Epoch [2/25], Train Loss: 0.6864
Validation Loss: 0.6764, Validation Accuracy: 64.56%
Epoch [3/25], Train Loss: 0.6835
Validation Loss: 0.6741, Validation Accuracy: 64.56%
Epoch [4/25], Train Loss: 0.6838
Validation Loss: 0.6722, Validation Accuracy: 64.56%
Epoch [5/25], Train Loss: 0.6831
Validation Loss: 0.6706, Validation Accuracy: 64.56%
Epoch [6/25], Train Loss: 0.6812
Validation Loss: 0.6688, Validation Accuracy: 64.56%
Epoch [7/25], Train Loss: 0.6807
Validation Loss: 0.6675, Validation Accuracy: 64.56%
Epoch [8/25], Train Loss: 0.6808
Validation Loss: 0.6662, Validation Accuracy: 64.56%
Epoch [9/25], Train Loss: 0.6806
Validation Loss: 0.6649, Validation Accuracy: 64.56%
Epoch [10/25], Train Loss: 0.6799
Validation Loss: 0.6637, Validation Accuracy: 64.56%
Epoch [11/25], Train Loss: 0.6802
Validation Loss: 0.6633, Validation Accuracy: 64.56%
Epoch [12/25], Train Loss: 0.6800
Validation Loss: 0.6624, Validation Accuracy: 64.56%
Epoch [13/25], Train Loss: 0.6794
Validation Loss: 0.6617, Validation Accuracy: 64.56%
Epoch [14/25], Train Loss: 0.6795
Validation Loss: 0.6613, Validation Accuracy: 64.56%
Epoch [15/25], Train Loss: 0.6791
Validation Loss: 0.6608, Validation Accuracy: 64.56%
Epoch [16/25], Train Loss: 0.6802
Validation Loss: 0.6608, Validation Accuracy: 64.56%
Epoch [17/25], Train Loss: 0.6803
Validation Loss: 0.6605, Validation Accuracy: 64.56%
Epoch [18/25], Train Loss: 0.6810
Validation Loss: 0.6605, Validation Accuracy: 64.56%
Epoch [19/25], Train Loss: 0.6796
Validation Loss: 0.6606, Validation Accuracy: 64.56%
Epoch [20/25], Train Loss: 0.6788
Validation Loss: 0.6607, Validation Accuracy: 64.56%
Epoch [21/25], Train Loss: 0.6795
Validation Loss: 0.6604, Validation Accuracy: 64.56%
Epoch [22/25], Train Loss: 0.6790
Validation Loss: 0.6605, Validation Accuracy: 64.56%
Epoch [23/25], Train Loss: 0.6791
Validation Loss: 0.6604, Validation Accuracy: 64.56%
Epoch [24/25], Train Loss: 0.6787
Validation Loss: 0.6602, Validation Accuracy: 64.56%
Epoch [25/25], Train Loss: 0.6776
Validation Loss: 0.6600, Validation Accuracy: 64.56%
Finished Training
