Epoch [1/25], Train Loss: 0.6860
Validation Loss: 0.6788, Validation Accuracy: 64.56%
Epoch [2/25], Train Loss: 0.6853
Validation Loss: 0.6774, Validation Accuracy: 64.56%
Epoch [3/25], Train Loss: 0.6840
Validation Loss: 0.6760, Validation Accuracy: 64.56%
Epoch [4/25], Train Loss: 0.6841
Validation Loss: 0.6748, Validation Accuracy: 64.56%
Epoch [5/25], Train Loss: 0.6836
Validation Loss: 0.6736, Validation Accuracy: 64.56%
Epoch [6/25], Train Loss: 0.6820
Validation Loss: 0.6724, Validation Accuracy: 64.56%
Epoch [7/25], Train Loss: 0.6822
Validation Loss: 0.6712, Validation Accuracy: 64.56%
Epoch [8/25], Train Loss: 0.6819
Validation Loss: 0.6703, Validation Accuracy: 64.56%
Epoch [9/25], Train Loss: 0.6818
Validation Loss: 0.6692, Validation Accuracy: 64.56%
Epoch [10/25], Train Loss: 0.6811
Validation Loss: 0.6684, Validation Accuracy: 64.56%
Epoch [11/25], Train Loss: 0.6808
Validation Loss: 0.6673, Validation Accuracy: 64.56%
Epoch [12/25], Train Loss: 0.6809
Validation Loss: 0.6663, Validation Accuracy: 64.56%
Epoch [13/25], Train Loss: 0.6808
Validation Loss: 0.6655, Validation Accuracy: 64.56%
Epoch [14/25], Train Loss: 0.6802
Validation Loss: 0.6648, Validation Accuracy: 64.56%
Epoch [15/25], Train Loss: 0.6800
Validation Loss: 0.6640, Validation Accuracy: 64.56%
Epoch [16/25], Train Loss: 0.6793
Validation Loss: 0.6634, Validation Accuracy: 64.56%
Epoch [17/25], Train Loss: 0.6792
Validation Loss: 0.6626, Validation Accuracy: 64.56%
Epoch [18/25], Train Loss: 0.6788
Validation Loss: 0.6622, Validation Accuracy: 64.56%
Epoch [19/25], Train Loss: 0.6788
Validation Loss: 0.6617, Validation Accuracy: 64.56%
Epoch [20/25], Train Loss: 0.6799
Validation Loss: 0.6614, Validation Accuracy: 64.56%
Epoch [21/25], Train Loss: 0.6792
Validation Loss: 0.6609, Validation Accuracy: 64.56%
Epoch [22/25], Train Loss: 0.6785
Validation Loss: 0.6603, Validation Accuracy: 64.56%
Epoch [23/25], Train Loss: 0.6786
Validation Loss: 0.6599, Validation Accuracy: 64.56%
Epoch [24/25], Train Loss: 0.6789
Validation Loss: 0.6601, Validation Accuracy: 64.56%
Epoch [25/25], Train Loss: 0.6794
Validation Loss: 0.6607, Validation Accuracy: 64.56%
Finished Training
