Epoch [1/25], Train Loss: 0.6971
Validation Loss: 0.6937, Validation Accuracy: 22.11%
Epoch [2/25], Train Loss: 0.6896
Validation Loss: 0.6866, Validation Accuracy: 77.89%
Epoch [3/25], Train Loss: 0.6802
Validation Loss: 0.6759, Validation Accuracy: 77.89%
Epoch [4/25], Train Loss: 0.6602
Validation Loss: 0.6455, Validation Accuracy: 77.89%
Epoch [5/25], Train Loss: 0.6091
Validation Loss: 0.5835, Validation Accuracy: 77.89%
Epoch [6/25], Train Loss: 0.5511
Validation Loss: 0.5401, Validation Accuracy: 77.89%
Epoch [7/25], Train Loss: 0.5265
Validation Loss: 0.5313, Validation Accuracy: 77.89%
Epoch [8/25], Train Loss: 0.5237
Validation Loss: 0.5310, Validation Accuracy: 77.89%
Epoch [9/25], Train Loss: 0.5229
Validation Loss: 0.5319, Validation Accuracy: 77.89%
Epoch [10/25], Train Loss: 0.5238
Validation Loss: 0.5316, Validation Accuracy: 77.89%
Epoch [11/25], Train Loss: 0.5209
Validation Loss: 0.5314, Validation Accuracy: 77.89%
Epoch [12/25], Train Loss: 0.5246
Validation Loss: 0.5325, Validation Accuracy: 77.89%
Epoch [13/25], Train Loss: 0.5224
Validation Loss: 0.5325, Validation Accuracy: 77.89%
Early stopping
Finished Training
