Epoch [1/25], Train Loss: 0.6642
Validation Loss: 0.6686, Validation Accuracy: 77.89%
Epoch [2/25], Train Loss: 0.6589
Validation Loss: 0.6641, Validation Accuracy: 77.89%
Epoch [3/25], Train Loss: 0.6520
Validation Loss: 0.6572, Validation Accuracy: 77.89%
Epoch [4/25], Train Loss: 0.6417
Validation Loss: 0.6422, Validation Accuracy: 77.89%
Epoch [5/25], Train Loss: 0.6243
Validation Loss: 0.6220, Validation Accuracy: 77.89%
Epoch [6/25], Train Loss: 0.5975
Validation Loss: 0.5941, Validation Accuracy: 77.89%
Epoch [7/25], Train Loss: 0.5661
Validation Loss: 0.5641, Validation Accuracy: 77.89%
Epoch [8/25], Train Loss: 0.5423
Validation Loss: 0.5436, Validation Accuracy: 77.89%
Epoch [9/25], Train Loss: 0.5324
Validation Loss: 0.5336, Validation Accuracy: 77.89%
Epoch [10/25], Train Loss: 0.5200
Validation Loss: 0.5303, Validation Accuracy: 77.89%
Epoch [11/25], Train Loss: 0.5230
Validation Loss: 0.5296, Validation Accuracy: 77.89%
Epoch [12/25], Train Loss: 0.5204
Validation Loss: 0.5292, Validation Accuracy: 77.89%
Epoch [13/25], Train Loss: 0.5209
Validation Loss: 0.5291, Validation Accuracy: 77.89%
Epoch [14/25], Train Loss: 0.5212
Validation Loss: 0.5291, Validation Accuracy: 77.89%
Epoch [15/25], Train Loss: 0.5218
Validation Loss: 0.5293, Validation Accuracy: 77.89%
Epoch [16/25], Train Loss: 0.5222
Validation Loss: 0.5295, Validation Accuracy: 77.89%
Epoch [17/25], Train Loss: 0.5123
Validation Loss: 0.5292, Validation Accuracy: 77.89%
Epoch [18/25], Train Loss: 0.5144
Validation Loss: 0.5291, Validation Accuracy: 77.89%
Early stopping
Finished Training
