Epoch [1/30], Train Loss: 0.7161
Validation Loss: 0.7078, Validation Accuracy: 22.11%
Epoch [2/30], Train Loss: 0.7093
Validation Loss: 0.7016, Validation Accuracy: 22.11%
Epoch [3/30], Train Loss: 0.7026
Validation Loss: 0.6952, Validation Accuracy: 22.11%
Epoch [4/30], Train Loss: 0.6960
Validation Loss: 0.6889, Validation Accuracy: 77.89%
Epoch [5/30], Train Loss: 0.6883
Validation Loss: 0.6815, Validation Accuracy: 77.89%
Epoch [6/30], Train Loss: 0.6786
Validation Loss: 0.6705, Validation Accuracy: 77.89%
Epoch [7/30], Train Loss: 0.6617
Validation Loss: 0.6477, Validation Accuracy: 77.89%
Epoch [8/30], Train Loss: 0.6327
Validation Loss: 0.6192, Validation Accuracy: 77.89%
Epoch [9/30], Train Loss: 0.5993
Validation Loss: 0.5859, Validation Accuracy: 77.89%
Epoch [10/30], Train Loss: 0.5639
Validation Loss: 0.5564, Validation Accuracy: 77.89%
Epoch [11/30], Train Loss: 0.5511
Validation Loss: 0.5406, Validation Accuracy: 77.89%
Epoch [12/30], Train Loss: 0.5429
Validation Loss: 0.5341, Validation Accuracy: 77.89%
Epoch [13/30], Train Loss: 0.5420
Validation Loss: 0.5322, Validation Accuracy: 77.89%
Epoch [14/30], Train Loss: 0.5321
Validation Loss: 0.5313, Validation Accuracy: 77.89%
Epoch [15/30], Train Loss: 0.5328
Validation Loss: 0.5306, Validation Accuracy: 77.89%
Epoch [16/30], Train Loss: 0.5309
Validation Loss: 0.5305, Validation Accuracy: 77.89%
Epoch [17/30], Train Loss: 0.5241
Validation Loss: 0.5300, Validation Accuracy: 77.89%
Epoch [18/30], Train Loss: 0.5272
Validation Loss: 0.5300, Validation Accuracy: 77.89%
Epoch [19/30], Train Loss: 0.5254
Validation Loss: 0.5300, Validation Accuracy: 77.89%
Epoch [20/30], Train Loss: 0.5253
Validation Loss: 0.5298, Validation Accuracy: 77.89%
Epoch [21/30], Train Loss: 0.5196
Validation Loss: 0.5296, Validation Accuracy: 77.89%
Epoch [22/30], Train Loss: 0.5278
Validation Loss: 0.5298, Validation Accuracy: 77.89%
Epoch [23/30], Train Loss: 0.5274
Validation Loss: 0.5299, Validation Accuracy: 77.89%
Epoch [24/30], Train Loss: 0.5234
Validation Loss: 0.5299, Validation Accuracy: 77.89%
Epoch [25/30], Train Loss: 0.5293
Validation Loss: 0.5301, Validation Accuracy: 77.89%
Epoch [26/30], Train Loss: 0.5279
Validation Loss: 0.5303, Validation Accuracy: 77.89%
Early stopping
Finished Training
