Epoch [1/30], Train Loss: 0.7010
Validation Loss: 0.6971, Validation Accuracy: 22.11%
Epoch [2/30], Train Loss: 0.6944
Validation Loss: 0.6913, Validation Accuracy: 77.89%
Epoch [3/30], Train Loss: 0.6882
Validation Loss: 0.6849, Validation Accuracy: 77.89%
Epoch [4/30], Train Loss: 0.6807
Validation Loss: 0.6772, Validation Accuracy: 77.89%
Epoch [5/30], Train Loss: 0.6703
Validation Loss: 0.6669, Validation Accuracy: 77.89%
Epoch [6/30], Train Loss: 0.6552
Validation Loss: 0.6477, Validation Accuracy: 77.89%
Epoch [7/30], Train Loss: 0.6310
Validation Loss: 0.6181, Validation Accuracy: 77.89%
Epoch [8/30], Train Loss: 0.5972
Validation Loss: 0.5833, Validation Accuracy: 77.89%
Epoch [9/30], Train Loss: 0.5655
Validation Loss: 0.5533, Validation Accuracy: 77.89%
Epoch [10/30], Train Loss: 0.5403
Validation Loss: 0.5366, Validation Accuracy: 77.89%
Epoch [11/30], Train Loss: 0.5348
Validation Loss: 0.5314, Validation Accuracy: 77.89%
Epoch [12/30], Train Loss: 0.5325
Validation Loss: 0.5296, Validation Accuracy: 77.89%
Epoch [13/30], Train Loss: 0.5231
Validation Loss: 0.5291, Validation Accuracy: 77.89%
Epoch [14/30], Train Loss: 0.5271
Validation Loss: 0.5289, Validation Accuracy: 77.89%
Epoch [15/30], Train Loss: 0.5321
Validation Loss: 0.5293, Validation Accuracy: 77.89%
Epoch [16/30], Train Loss: 0.5317
Validation Loss: 0.5293, Validation Accuracy: 77.89%
Epoch [17/30], Train Loss: 0.5287
Validation Loss: 0.5297, Validation Accuracy: 77.89%
Epoch [18/30], Train Loss: 0.5263
Validation Loss: 0.5295, Validation Accuracy: 77.89%
Epoch [19/30], Train Loss: 0.5330
Validation Loss: 0.5297, Validation Accuracy: 77.89%
Early stopping
Finished Training
