Epoch [1/30], Train Loss: 0.7448
Validation Loss: 0.7332, Validation Accuracy: 22.11%
Epoch [2/30], Train Loss: 0.7318
Validation Loss: 0.7225, Validation Accuracy: 22.11%
Epoch [3/30], Train Loss: 0.7150
Validation Loss: 0.7029, Validation Accuracy: 22.11%
Epoch [4/30], Train Loss: 0.6808
Validation Loss: 0.6586, Validation Accuracy: 77.89%
Epoch [5/30], Train Loss: 0.6170
Validation Loss: 0.5863, Validation Accuracy: 77.89%
Epoch [6/30], Train Loss: 0.5633
Validation Loss: 0.5404, Validation Accuracy: 77.89%
Epoch [7/30], Train Loss: 0.5388
Validation Loss: 0.5312, Validation Accuracy: 77.89%
Epoch [8/30], Train Loss: 0.5309
Validation Loss: 0.5302, Validation Accuracy: 77.89%
Epoch [9/30], Train Loss: 0.5416
Validation Loss: 0.5311, Validation Accuracy: 77.89%
Epoch [10/30], Train Loss: 0.5345
Validation Loss: 0.5309, Validation Accuracy: 77.89%
Epoch [11/30], Train Loss: 0.5386
Validation Loss: 0.5314, Validation Accuracy: 77.89%
Epoch [12/30], Train Loss: 0.5292
Validation Loss: 0.5310, Validation Accuracy: 77.89%
Epoch [13/30], Train Loss: 0.5316
Validation Loss: 0.5303, Validation Accuracy: 77.89%
Early stopping
Finished Training
