Epoch [1/30], Train Loss: 0.6907
Validation Loss: 0.6875, Validation Accuracy: 62.45%
Epoch [2/30], Train Loss: 0.6900
Validation Loss: 0.6863, Validation Accuracy: 62.45%
Epoch [3/30], Train Loss: 0.6893
Validation Loss: 0.6853, Validation Accuracy: 62.45%
Epoch [4/30], Train Loss: 0.6892
Validation Loss: 0.6845, Validation Accuracy: 62.45%
Epoch [5/30], Train Loss: 0.6891
Validation Loss: 0.6835, Validation Accuracy: 62.45%
Epoch [6/30], Train Loss: 0.6874
Validation Loss: 0.6827, Validation Accuracy: 62.45%
Epoch [7/30], Train Loss: 0.6876
Validation Loss: 0.6820, Validation Accuracy: 62.45%
Epoch [8/30], Train Loss: 0.6865
Validation Loss: 0.6813, Validation Accuracy: 62.45%
Epoch [9/30], Train Loss: 0.6871
Validation Loss: 0.6806, Validation Accuracy: 62.45%
Epoch [10/30], Train Loss: 0.6863
Validation Loss: 0.6798, Validation Accuracy: 62.45%
Epoch [11/30], Train Loss: 0.6856
Validation Loss: 0.6791, Validation Accuracy: 62.45%
Epoch [12/30], Train Loss: 0.6854
Validation Loss: 0.6785, Validation Accuracy: 62.45%
Epoch [13/30], Train Loss: 0.6857
Validation Loss: 0.6778, Validation Accuracy: 62.45%
Epoch [14/30], Train Loss: 0.6855
Validation Loss: 0.6773, Validation Accuracy: 62.45%
Epoch [15/30], Train Loss: 0.6852
Validation Loss: 0.6767, Validation Accuracy: 62.45%
Epoch [16/30], Train Loss: 0.6844
Validation Loss: 0.6760, Validation Accuracy: 62.45%
Epoch [17/30], Train Loss: 0.6845
Validation Loss: 0.6754, Validation Accuracy: 62.45%
Epoch [18/30], Train Loss: 0.6845
Validation Loss: 0.6750, Validation Accuracy: 62.45%
Epoch [19/30], Train Loss: 0.6846
Validation Loss: 0.6746, Validation Accuracy: 62.45%
Epoch [20/30], Train Loss: 0.6835
Validation Loss: 0.6743, Validation Accuracy: 62.45%
Epoch [21/30], Train Loss: 0.6838
Validation Loss: 0.6739, Validation Accuracy: 62.45%
Epoch [22/30], Train Loss: 0.6832
