Epoch [1/30], Train Loss: 0.7043
Validation Loss: 0.7102, Validation Accuracy: 37.55%
Epoch [2/30], Train Loss: 0.7041
Validation Loss: 0.7091, Validation Accuracy: 37.55%
Epoch [3/30], Train Loss: 0.7036
Validation Loss: 0.7082, Validation Accuracy: 37.55%
Epoch [4/30], Train Loss: 0.7036
Validation Loss: 0.7073, Validation Accuracy: 37.55%
Epoch [5/30], Train Loss: 0.7021
Validation Loss: 0.7064, Validation Accuracy: 37.55%
Epoch [6/30], Train Loss: 0.7012
Validation Loss: 0.7055, Validation Accuracy: 37.55%
Epoch [7/30], Train Loss: 0.7003
Validation Loss: 0.7046, Validation Accuracy: 37.55%
Epoch [8/30], Train Loss: 0.7003
Validation Loss: 0.7037, Validation Accuracy: 37.55%
Epoch [9/30], Train Loss: 0.7001
Validation Loss: 0.7028, Validation Accuracy: 37.55%
Epoch [10/30], Train Loss: 0.6996
Validation Loss: 0.7020, Validation Accuracy: 37.55%
Epoch [11/30], Train Loss: 0.6990
Validation Loss: 0.7012, Validation Accuracy: 37.55%
Epoch [12/30], Train Loss: 0.6978
Validation Loss: 0.7004, Validation Accuracy: 37.55%
Epoch [13/30], Train Loss: 0.6982
Validation Loss: 0.6996, Validation Accuracy: 37.55%
Epoch [14/30], Train Loss: 0.6967
Validation Loss: 0.6989, Validation Accuracy: 37.55%
Epoch [15/30], Train Loss: 0.6968
Validation Loss: 0.6981, Validation Accuracy: 37.55%
Epoch [16/30], Train Loss: 0.6950
Validation Loss: 0.6973, Validation Accuracy: 37.55%
Epoch [17/30], Train Loss: 0.6958
Validation Loss: 0.6966, Validation Accuracy: 37.55%
Epoch [18/30], Train Loss: 0.6956
Validation Loss: 0.6958, Validation Accuracy: 37.55%
Epoch [19/30], Train Loss: 0.6942
