Epoch [1/30], Train Loss: 0.7068
Validation Loss: 0.7130, Validation Accuracy: 37.55%
Epoch [2/30], Train Loss: 0.7050
Validation Loss: 0.7111, Validation Accuracy: 37.55%
Epoch [3/30], Train Loss: 0.7045
Validation Loss: 0.7093, Validation Accuracy: 37.55%
Epoch [4/30], Train Loss: 0.7027
Validation Loss: 0.7075, Validation Accuracy: 37.55%
Epoch [5/30], Train Loss: 0.7018
Validation Loss: 0.7058, Validation Accuracy: 37.55%
Epoch [6/30], Train Loss: 0.7009
Validation Loss: 0.7040, Validation Accuracy: 37.55%
Epoch [7/30], Train Loss: 0.7005
Validation Loss: 0.7022, Validation Accuracy: 37.55%
Epoch [8/30], Train Loss: 0.6986
Validation Loss: 0.7000, Validation Accuracy: 37.55%
Epoch [9/30], Train Loss: 0.6962
Validation Loss: 0.6974, Validation Accuracy: 37.55%
Epoch [10/30], Train Loss: 0.6960
Validation Loss: 0.6948, Validation Accuracy: 37.55%
Epoch [11/30], Train Loss: 0.6938
Validation Loss: 0.6920, Validation Accuracy: 61.43%
Epoch [12/30], Train Loss: 0.6943
Validation Loss: 0.6893, Validation Accuracy: 62.18%
Epoch [13/30], Train Loss: 0.6916
Validation Loss: 0.6864, Validation Accuracy: 62.45%
Epoch [14/30], Train Loss: 0.6905
Validation Loss: 0.6840, Validation Accuracy: 62.45%
Epoch [15/30], Train Loss: 0.6907
Validation Loss: 0.6821, Validation Accuracy: 62.45%
Epoch [16/30], Train Loss: 0.6876
Validation Loss: 0.6801, Validation Accuracy: 62.45%
Epoch [17/30], Train Loss: 0.6882
Validation Loss: 0.6787, Validation Accuracy: 62.45%
Epoch [18/30], Train Loss: 0.6882
Validation Loss: 0.6781, Validation Accuracy: 62.45%
Epoch [19/30], Train Loss: 0.6848
Validation Loss: 0.6770, Validation Accuracy: 62.45%
Epoch [20/30], Train Loss: 0.6871
Validation Loss: 0.6765, Validation Accuracy: 62.45%
Epoch [21/30], Train Loss: 0.6847
Validation Loss: 0.6758, Validation Accuracy: 62.45%
Epoch [22/30], Train Loss: 0.6865
Validation Loss: 0.6756, Validation Accuracy: 62.45%
Epoch [23/30], Train Loss: 0.6859
Validation Loss: 0.6752, Validation Accuracy: 62.45%
Epoch [24/30], Train Loss: 0.6879
Validation Loss: 0.6759, Validation Accuracy: 62.45%
Epoch [25/30], Train Loss: 0.6844
Validation Loss: 0.6748, Validation Accuracy: 62.45%
Epoch [26/30], Train Loss: 0.6842
Validation Loss: 0.6749, Validation Accuracy: 62.45%
Epoch [27/30], Train Loss: 0.6841
Validation Loss: 0.6741, Validation Accuracy: 62.45%
Epoch [28/30], Train Loss: 0.6858
Validation Loss: 0.6741, Validation Accuracy: 62.45%
Epoch [29/30], Train Loss: 0.6847
Validation Loss: 0.6738, Validation Accuracy: 62.45%
Epoch [30/30], Train Loss: 0.6840
Validation Loss: 0.6737, Validation Accuracy: 62.45%
Finished Training
