Epoch [1/30], Train Loss: 0.6943
Validation Loss: 0.6885, Validation Accuracy: 77.89%
Epoch [2/30], Train Loss: 0.6896
Validation Loss: 0.6845, Validation Accuracy: 77.89%
Epoch [3/30], Train Loss: 0.6841
Validation Loss: 0.6805, Validation Accuracy: 77.89%
Epoch [4/30], Train Loss: 0.6797
Validation Loss: 0.6766, Validation Accuracy: 77.89%
Epoch [5/30], Train Loss: 0.6749
Validation Loss: 0.6726, Validation Accuracy: 77.89%
Epoch [6/30], Train Loss: 0.6712
Validation Loss: 0.6684, Validation Accuracy: 77.89%
Epoch [7/30], Train Loss: 0.6663
Validation Loss: 0.6642, Validation Accuracy: 77.89%
Epoch [8/30], Train Loss: 0.6604
Validation Loss: 0.6600, Validation Accuracy: 77.89%
Epoch [9/30], Train Loss: 0.6553
Validation Loss: 0.6555, Validation Accuracy: 77.89%
Epoch [10/30], Train Loss: 0.6482
Validation Loss: 0.6502, Validation Accuracy: 77.89%
Epoch [11/30], Train Loss: 0.6395
Validation Loss: 0.6434, Validation Accuracy: 77.89%
Epoch [12/30], Train Loss: 0.6283
Validation Loss: 0.6300, Validation Accuracy: 77.89%
Epoch [13/30], Train Loss: 0.6067
Validation Loss: 0.6072, Validation Accuracy: 77.89%
Epoch [14/30], Train Loss: 0.5859
Validation Loss: 0.5827, Validation Accuracy: 77.89%
Epoch [15/30], Train Loss: 0.5736
Validation Loss: 0.5688, Validation Accuracy: 77.89%
Epoch [16/30], Train Loss: 0.5704
Validation Loss: 0.5623, Validation Accuracy: 77.89%
Epoch [17/30], Train Loss: 0.5653
Validation Loss: 0.5573, Validation Accuracy: 77.89%
Epoch [18/30], Train Loss: 0.5645
Validation Loss: 0.5556, Validation Accuracy: 77.89%
Epoch [19/30], Train Loss: 0.5651
Validation Loss: 0.5549, Validation Accuracy: 77.89%
Epoch [20/30], Train Loss: 0.5592
Validation Loss: 0.5540, Validation Accuracy: 77.89%
Epoch [21/30], Train Loss: 0.5511
Validation Loss: 0.5531, Validation Accuracy: 77.89%
Epoch [22/30], Train Loss: 0.5511
Validation Loss: 0.5514, Validation Accuracy: 77.89%
Epoch [23/30], Train Loss: 0.5504
Validation Loss: 0.5502, Validation Accuracy: 77.89%
Epoch [24/30], Train Loss: 0.5566
Validation Loss: 0.5525, Validation Accuracy: 77.89%
Epoch [25/30], Train Loss: 0.5582
Validation Loss: 0.5541, Validation Accuracy: 77.89%
Epoch [26/30], Train Loss: 0.5497
Validation Loss: 0.5510, Validation Accuracy: 77.89%
Epoch [27/30], Train Loss: 0.5542
Validation Loss: 0.5517, Validation Accuracy: 77.89%
Epoch [28/30], Train Loss: 0.5478
Validation Loss: 0.5507, Validation Accuracy: 77.89%
Early stopping
Finished Training
