Epoch [1/30], Train Loss: 0.7568
Validation Loss: 0.7428, Validation Accuracy: 22.11%
Epoch [2/30], Train Loss: 0.7461
Validation Loss: 0.7331, Validation Accuracy: 22.11%
Epoch [3/30], Train Loss: 0.7363
Validation Loss: 0.7236, Validation Accuracy: 22.11%
Epoch [4/30], Train Loss: 0.7264
Validation Loss: 0.7138, Validation Accuracy: 22.11%
Epoch [5/30], Train Loss: 0.7152
Validation Loss: 0.7036, Validation Accuracy: 22.11%
Epoch [6/30], Train Loss: 0.7041
Validation Loss: 0.6925, Validation Accuracy: 75.04%
Epoch [7/30], Train Loss: 0.6915
Validation Loss: 0.6789, Validation Accuracy: 77.89%
Epoch [8/30], Train Loss: 0.6744
Validation Loss: 0.6579, Validation Accuracy: 77.89%
Epoch [9/30], Train Loss: 0.6401
Validation Loss: 0.6259, Validation Accuracy: 77.89%
Epoch [10/30], Train Loss: 0.6126
Validation Loss: 0.6002, Validation Accuracy: 77.89%
Epoch [11/30], Train Loss: 0.6028
Validation Loss: 0.5858, Validation Accuracy: 77.89%
Epoch [12/30], Train Loss: 0.5961
Validation Loss: 0.5776, Validation Accuracy: 77.89%
Epoch [13/30], Train Loss: 0.5981
Validation Loss: 0.5757, Validation Accuracy: 77.89%
Epoch [14/30], Train Loss: 0.5911
Validation Loss: 0.5729, Validation Accuracy: 77.89%
Epoch [15/30], Train Loss: 0.5808
Validation Loss: 0.5699, Validation Accuracy: 77.89%
Epoch [16/30], Train Loss: 0.5767
Validation Loss: 0.5665, Validation Accuracy: 77.89%
Epoch [17/30], Train Loss: 0.5856
Validation Loss: 0.5677, Validation Accuracy: 77.89%
Epoch [18/30], Train Loss: 0.5755
Validation Loss: 0.5657, Validation Accuracy: 77.89%
Epoch [19/30], Train Loss: 0.5698
Validation Loss: 0.5639, Validation Accuracy: 77.89%
Epoch [20/30], Train Loss: 0.5674
Validation Loss: 0.5611, Validation Accuracy: 77.89%
Epoch [21/30], Train Loss: 0.5700
Validation Loss: 0.5602, Validation Accuracy: 77.89%
Epoch [22/30], Train Loss: 0.5678
Validation Loss: 0.5591, Validation Accuracy: 77.89%
Epoch [23/30], Train Loss: 0.5629
Validation Loss: 0.5570, Validation Accuracy: 77.89%
Epoch [24/30], Train Loss: 0.5643
Validation Loss: 0.5556, Validation Accuracy: 77.89%
Epoch [25/30], Train Loss: 0.5618
Validation Loss: 0.5543, Validation Accuracy: 77.89%
Epoch [26/30], Train Loss: 0.5597
Validation Loss: 0.5531, Validation Accuracy: 77.89%
Epoch [27/30], Train Loss: 0.5594
Validation Loss: 0.5525, Validation Accuracy: 77.89%
Epoch [28/30], Train Loss: 0.5526
Validation Loss: 0.5492, Validation Accuracy: 77.89%
Epoch [29/30], Train Loss: 0.5477
Validation Loss: 0.5463, Validation Accuracy: 77.89%
Epoch [30/30], Train Loss: 0.5525
Validation Loss: 0.5483, Validation Accuracy: 77.89%
Finished Training
