Epoch [1/30], Train Loss: 0.6928
Validation Loss: 0.6921, Validation Accuracy: 77.89%
Epoch [2/30], Train Loss: 0.6838
Validation Loss: 0.6830, Validation Accuracy: 77.89%
Epoch [3/30], Train Loss: 0.6720
Validation Loss: 0.6722, Validation Accuracy: 77.89%
Epoch [4/30], Train Loss: 0.6582
Validation Loss: 0.6576, Validation Accuracy: 77.89%
Epoch [5/30], Train Loss: 0.6298
Validation Loss: 0.6333, Validation Accuracy: 77.89%
Epoch [6/30], Train Loss: 0.6019
Validation Loss: 0.6072, Validation Accuracy: 77.89%
Epoch [7/30], Train Loss: 0.5871
Validation Loss: 0.5889, Validation Accuracy: 77.89%
Epoch [8/30], Train Loss: 0.5785
Validation Loss: 0.5783, Validation Accuracy: 77.89%
Epoch [9/30], Train Loss: 0.5693
Validation Loss: 0.5706, Validation Accuracy: 77.89%
Epoch [10/30], Train Loss: 0.5716
Validation Loss: 0.5681, Validation Accuracy: 77.89%
Epoch [11/30], Train Loss: 0.5672
Validation Loss: 0.5651, Validation Accuracy: 77.89%
Epoch [12/30], Train Loss: 0.5672
Validation Loss: 0.5638, Validation Accuracy: 77.89%
Epoch [13/30], Train Loss: 0.5662
Validation Loss: 0.5639, Validation Accuracy: 77.89%
Epoch [14/30], Train Loss: 0.5588
Validation Loss: 0.5617, Validation Accuracy: 77.89%
