Epoch [1/30], Train Loss: 0.7006
Validation Loss: 0.6962, Validation Accuracy: 22.11%
Epoch [2/30], Train Loss: 0.6903
Validation Loss: 0.6887, Validation Accuracy: 77.89%
Epoch [3/30], Train Loss: 0.6824
Validation Loss: 0.6812, Validation Accuracy: 77.89%
Epoch [4/30], Train Loss: 0.6727
Validation Loss: 0.6730, Validation Accuracy: 77.89%
Epoch [5/30], Train Loss: 0.6581
Validation Loss: 0.6617, Validation Accuracy: 77.89%
Epoch [6/30], Train Loss: 0.6340
Validation Loss: 0.6358, Validation Accuracy: 77.89%
Epoch [7/30], Train Loss: 0.6051
Validation Loss: 0.6089, Validation Accuracy: 77.89%
Epoch [8/30], Train Loss: 0.5874
Validation Loss: 0.5945, Validation Accuracy: 77.89%
Epoch [9/30], Train Loss: 0.5768
Validation Loss: 0.5865, Validation Accuracy: 77.89%
Epoch [10/30], Train Loss: 0.5771
Validation Loss: 0.5830, Validation Accuracy: 77.89%
Epoch [11/30], Train Loss: 0.5710
Validation Loss: 0.5803, Validation Accuracy: 77.89%
Epoch [12/30], Train Loss: 0.5658
Validation Loss: 0.5780, Validation Accuracy: 77.89%
Epoch [13/30], Train Loss: 0.5682
Validation Loss: 0.5775, Validation Accuracy: 77.89%
Epoch [14/30], Train Loss: 0.5659
Validation Loss: 0.5779, Validation Accuracy: 77.89%
Epoch [15/30], Train Loss: 0.5637
Validation Loss: 0.5783, Validation Accuracy: 77.89%
Epoch [16/30], Train Loss: 0.5593
Validation Loss: 0.5764, Validation Accuracy: 77.89%
Epoch [17/30], Train Loss: 0.5579
Validation Loss: 0.5756, Validation Accuracy: 77.89%
Epoch [18/30], Train Loss: 0.5549
Validation Loss: 0.5746, Validation Accuracy: 77.89%
Epoch [19/30], Train Loss: 0.5544
Validation Loss: 0.5741, Validation Accuracy: 77.89%
Epoch [20/30], Train Loss: 0.5487
Validation Loss: 0.5715, Validation Accuracy: 77.89%
Epoch [21/30], Train Loss: 0.5533
Validation Loss: 0.5720, Validation Accuracy: 77.89%
Epoch [22/30], Train Loss: 0.5489
Validation Loss: 0.5720, Validation Accuracy: 77.89%
Epoch [23/30], Train Loss: 0.5457
Validation Loss: 0.5697, Validation Accuracy: 77.89%
Epoch [24/30], Train Loss: 0.5398
Validation Loss: 0.5650, Validation Accuracy: 77.89%
Epoch [25/30], Train Loss: 0.5409
Validation Loss: 0.5639, Validation Accuracy: 77.89%
Epoch [26/30], Train Loss: 0.5431
Validation Loss: 0.5644, Validation Accuracy: 77.89%
Epoch [27/30], Train Loss: 0.5374
Validation Loss: 0.5621, Validation Accuracy: 77.89%
Epoch [28/30], Train Loss: 0.5357
Validation Loss: 0.5607, Validation Accuracy: 77.89%
Epoch [29/30], Train Loss: 0.5336
Validation Loss: 0.5576, Validation Accuracy: 77.89%
Epoch [30/30], Train Loss: 0.5282
Validation Loss: 0.5538, Validation Accuracy: 77.89%
Finished Training
