Epoch [1/30], Train Loss: 0.6898
Validation Loss: 0.6885, Validation Accuracy: 77.89%
Epoch [2/30], Train Loss: 0.6838
Validation Loss: 0.6829, Validation Accuracy: 77.89%
Epoch [3/30], Train Loss: 0.6764
Validation Loss: 0.6770, Validation Accuracy: 77.89%
Epoch [4/30], Train Loss: 0.6696
Validation Loss: 0.6705, Validation Accuracy: 77.89%
Epoch [5/30], Train Loss: 0.6626
Validation Loss: 0.6633, Validation Accuracy: 77.89%
Epoch [6/30], Train Loss: 0.6556
Validation Loss: 0.6546, Validation Accuracy: 77.89%
Epoch [7/30], Train Loss: 0.6456
Validation Loss: 0.6439, Validation Accuracy: 77.89%
Epoch [8/30], Train Loss: 0.6318
Validation Loss: 0.6277, Validation Accuracy: 77.89%
Epoch [9/30], Train Loss: 0.6141
Validation Loss: 0.6058, Validation Accuracy: 77.89%
Epoch [10/30], Train Loss: 0.6011
Validation Loss: 0.5883, Validation Accuracy: 77.89%
Epoch [11/30], Train Loss: 0.5875
Validation Loss: 0.5745, Validation Accuracy: 77.89%
Epoch [12/30], Train Loss: 0.5778
Validation Loss: 0.5654, Validation Accuracy: 77.89%
Epoch [13/30], Train Loss: 0.5721
Validation Loss: 0.5581, Validation Accuracy: 77.89%
Epoch [14/30], Train Loss: 0.5679
Validation Loss: 0.5551, Validation Accuracy: 77.89%
Epoch [15/30], Train Loss: 0.5668
Validation Loss: 0.5531, Validation Accuracy: 77.89%
Epoch [16/30], Train Loss: 0.5664
Validation Loss: 0.5519, Validation Accuracy: 77.89%
Epoch [17/30], Train Loss: 0.5634
Validation Loss: 0.5508, Validation Accuracy: 77.89%
Epoch [18/30], Train Loss: 0.5613
Validation Loss: 0.5505, Validation Accuracy: 77.89%
Epoch [19/30], Train Loss: 0.5566
Validation Loss: 0.5485, Validation Accuracy: 77.89%
Epoch [20/30], Train Loss: 0.5596
Validation Loss: 0.5479, Validation Accuracy: 77.89%
Epoch [21/30], Train Loss: 0.5596
Validation Loss: 0.5484, Validation Accuracy: 77.89%
Epoch [22/30], Train Loss: 0.5608
Validation Loss: 0.5484, Validation Accuracy: 77.89%
Epoch [23/30], Train Loss: 0.5539
Validation Loss: 0.5470, Validation Accuracy: 77.89%
Epoch [24/30], Train Loss: 0.5561
Validation Loss: 0.5469, Validation Accuracy: 77.89%
Epoch [25/30], Train Loss: 0.5484
Validation Loss: 0.5459, Validation Accuracy: 77.89%
Epoch [26/30], Train Loss: 0.5532
Validation Loss: 0.5458, Validation Accuracy: 77.89%
Epoch [27/30], Train Loss: 0.5442
Validation Loss: 0.5446, Validation Accuracy: 77.89%
Epoch [28/30], Train Loss: 0.5489
Validation Loss: 0.5447, Validation Accuracy: 77.89%
Epoch [29/30], Train Loss: 0.5459
Validation Loss: 0.5444, Validation Accuracy: 77.89%
Epoch [30/30], Train Loss: 0.5348
Validation Loss: 0.5414, Validation Accuracy: 77.89%
Finished Training
