Epoch [1/30], Train Loss: 0.6730
Validation Loss: 0.6721, Validation Accuracy: 77.89%
Epoch [2/30], Train Loss: 0.6643
Validation Loss: 0.6633, Validation Accuracy: 77.89%
Epoch [3/30], Train Loss: 0.6523
Validation Loss: 0.6534, Validation Accuracy: 77.89%
Epoch [4/30], Train Loss: 0.6387
Validation Loss: 0.6386, Validation Accuracy: 77.89%
Epoch [5/30], Train Loss: 0.6172
Validation Loss: 0.6142, Validation Accuracy: 77.89%
Epoch [6/30], Train Loss: 0.5876
Validation Loss: 0.5816, Validation Accuracy: 77.89%
Epoch [7/30], Train Loss: 0.5723
Validation Loss: 0.5673, Validation Accuracy: 77.89%
Epoch [8/30], Train Loss: 0.5685
Validation Loss: 0.5650, Validation Accuracy: 77.89%
Epoch [9/30], Train Loss: 0.5584
Validation Loss: 0.5599, Validation Accuracy: 77.89%
Epoch [10/30], Train Loss: 0.5537
Validation Loss: 0.5558, Validation Accuracy: 77.89%
Epoch [11/30], Train Loss: 0.5514
Validation Loss: 0.5547, Validation Accuracy: 77.89%
Epoch [12/30], Train Loss: 0.5475
Validation Loss: 0.5528, Validation Accuracy: 77.89%
Epoch [13/30], Train Loss: 0.5438
Validation Loss: 0.5515, Validation Accuracy: 77.89%
Epoch [14/30], Train Loss: 0.5485
Validation Loss: 0.5540, Validation Accuracy: 77.89%
Epoch [15/30], Train Loss: 0.5460
Validation Loss: 0.5537, Validation Accuracy: 77.89%
Epoch [16/30], Train Loss: 0.5351
Validation Loss: 0.5491, Validation Accuracy: 77.89%
Epoch [17/30], Train Loss: 0.5326
Validation Loss: 0.5474, Validation Accuracy: 77.89%
Epoch [18/30], Train Loss: 0.5377
Validation Loss: 0.5494, Validation Accuracy: 77.89%
Epoch [19/30], Train Loss: 0.5323
Validation Loss: 0.5482, Validation Accuracy: 77.89%
Epoch [20/30], Train Loss: 0.5293
Validation Loss: 0.5428, Validation Accuracy: 77.89%
Epoch [21/30], Train Loss: 0.5299
Validation Loss: 0.5460, Validation Accuracy: 77.89%
Epoch [22/30], Train Loss: 0.5273
Validation Loss: 0.5436, Validation Accuracy: 77.89%
Epoch [23/30], Train Loss: 0.5247
Validation Loss: 0.5427, Validation Accuracy: 77.89%
Epoch [24/30], Train Loss: 0.5217
Validation Loss: 0.5422, Validation Accuracy: 77.89%
Epoch [25/30], Train Loss: 0.5174
Validation Loss: 0.5390, Validation Accuracy: 77.89%
Epoch [26/30], Train Loss: 0.5181
Validation Loss: 0.5407, Validation Accuracy: 77.89%
Epoch [27/30], Train Loss: 0.5169
Validation Loss: 0.5387, Validation Accuracy: 77.89%
Epoch [28/30], Train Loss: 0.5160
Validation Loss: 0.5381, Validation Accuracy: 77.89%
Epoch [29/30], Train Loss: 0.5107
Validation Loss: 0.5371, Validation Accuracy: 77.89%
Epoch [30/30], Train Loss: 0.5119
Validation Loss: 0.5361, Validation Accuracy: 77.89%
Finished Training
