Epoch [1/30], Train Loss: 0.6674
Validation Loss: 0.6490, Validation Accuracy: 77.89%
Epoch [2/30], Train Loss: 0.5879
Validation Loss: 0.5561, Validation Accuracy: 77.89%
Epoch [3/30], Train Loss: 0.5503
Validation Loss: 0.5541, Validation Accuracy: 77.89%
Epoch [4/30], Train Loss: 0.5382
Validation Loss: 0.5445, Validation Accuracy: 77.89%
Epoch [5/30], Train Loss: 0.5283
Validation Loss: 0.5381, Validation Accuracy: 77.89%
Epoch [6/30], Train Loss: 0.5243
Validation Loss: 0.5332, Validation Accuracy: 77.89%
Epoch [7/30], Train Loss: 0.5232
Validation Loss: 0.5313, Validation Accuracy: 77.89%
Epoch [8/30], Train Loss: 0.5131
Validation Loss: 0.5288, Validation Accuracy: 77.89%
Epoch [9/30], Train Loss: 0.5114
Validation Loss: 0.5283, Validation Accuracy: 77.89%
Epoch [10/30], Train Loss: 0.5108
Validation Loss: 0.5283, Validation Accuracy: 77.89%
Epoch [11/30], Train Loss: 0.5069
Validation Loss: 0.5284, Validation Accuracy: 77.89%
Epoch [12/30], Train Loss: 0.5072
Validation Loss: 0.5284, Validation Accuracy: 77.89%
Epoch [13/30], Train Loss: 0.5050
Validation Loss: 0.5285, Validation Accuracy: 77.89%
Epoch [14/30], Train Loss: 0.5070
Validation Loss: 0.5285, Validation Accuracy: 77.89%
Epoch [15/30], Train Loss: 0.5070
Validation Loss: 0.5285, Validation Accuracy: 77.89%
Early stopping
Finished Training
