Epoch [1/30], Train Loss: 0.6472
Validation Loss: 0.6309, Validation Accuracy: 77.89%
Epoch [2/30], Train Loss: 0.5813
Validation Loss: 0.5517, Validation Accuracy: 77.89%
Epoch [3/30], Train Loss: 0.5502
Validation Loss: 0.5511, Validation Accuracy: 77.89%
Epoch [4/30], Train Loss: 0.5389
Validation Loss: 0.5380, Validation Accuracy: 77.89%
Epoch [5/30], Train Loss: 0.5302
Validation Loss: 0.5382, Validation Accuracy: 77.89%
Epoch [6/30], Train Loss: 0.5243
Validation Loss: 0.5335, Validation Accuracy: 77.89%
Epoch [7/30], Train Loss: 0.5218
Validation Loss: 0.5309, Validation Accuracy: 77.89%
Epoch [8/30], Train Loss: 0.5135
Validation Loss: 0.5298, Validation Accuracy: 77.89%
Epoch [9/30], Train Loss: 0.5144
Validation Loss: 0.5293, Validation Accuracy: 77.89%
Epoch [10/30], Train Loss: 0.5088
Validation Loss: 0.5286, Validation Accuracy: 77.89%
Epoch [11/30], Train Loss: 0.5086
Validation Loss: 0.5283, Validation Accuracy: 77.89%
Epoch [12/30], Train Loss: 0.5066
Validation Loss: 0.5283, Validation Accuracy: 77.89%
Epoch [13/30], Train Loss: 0.5065
Validation Loss: 0.5283, Validation Accuracy: 77.89%
Epoch [14/30], Train Loss: 0.5028
Validation Loss: 0.5285, Validation Accuracy: 77.89%
Epoch [15/30], Train Loss: 0.5042
Validation Loss: 0.5284, Validation Accuracy: 77.89%
Epoch [16/30], Train Loss: 0.5049
Validation Loss: 0.5284, Validation Accuracy: 77.89%
Epoch [17/30], Train Loss: 0.5034
Validation Loss: 0.5284, Validation Accuracy: 77.89%
Epoch [18/30], Train Loss: 0.5028
Validation Loss: 0.5284, Validation Accuracy: 77.89%
Early stopping
Finished Training
