Epoch [1/20], Train Loss: 0.6517
Validation Loss: 0.5389, Validation Accuracy: 77.89%
Epoch [2/20], Train Loss: 0.5277
Validation Loss: 0.5312, Validation Accuracy: 77.89%
Epoch [3/20], Train Loss: 0.5078
Validation Loss: 0.5297, Validation Accuracy: 77.89%
Epoch [4/20], Train Loss: 0.5067
Validation Loss: 0.5284, Validation Accuracy: 77.89%
Epoch [5/20], Train Loss: 0.5011
Validation Loss: 0.5286, Validation Accuracy: 77.89%
Epoch [6/20], Train Loss: 0.5000
Validation Loss: 0.5298, Validation Accuracy: 77.89%
Epoch [7/20], Train Loss: 0.4982
Validation Loss: 0.5285, Validation Accuracy: 77.89%
Epoch [8/20], Train Loss: 0.4988
Validation Loss: 0.5283, Validation Accuracy: 77.89%
Epoch [9/20], Train Loss: 0.4969
Validation Loss: 0.5283, Validation Accuracy: 77.89%
Epoch [10/20], Train Loss: 0.4949
Validation Loss: 0.5285, Validation Accuracy: 77.89%
Epoch [11/20], Train Loss: 0.4947
Validation Loss: 0.5284, Validation Accuracy: 77.89%
Epoch [12/20], Train Loss: 0.4931
Validation Loss: 0.5288, Validation Accuracy: 77.89%
Epoch [13/20], Train Loss: 0.4939
Validation Loss: 0.5290, Validation Accuracy: 77.89%
Epoch [14/20], Train Loss: 0.4926
Validation Loss: 0.5298, Validation Accuracy: 77.89%
Early stopping
Finished Training
