Epoch [1/20], Train Loss: 0.6710
Validation Loss: 0.6683, Validation Accuracy: 77.89%
Epoch [2/20], Train Loss: 0.6617
Validation Loss: 0.6610, Validation Accuracy: 77.89%
Epoch [3/20], Train Loss: 0.6533
Validation Loss: 0.6532, Validation Accuracy: 77.89%
Epoch [4/20], Train Loss: 0.6425
Validation Loss: 0.6397, Validation Accuracy: 77.89%
Epoch [5/20], Train Loss: 0.6250
Validation Loss: 0.6153, Validation Accuracy: 77.89%
Epoch [6/20], Train Loss: 0.5914
Validation Loss: 0.5761, Validation Accuracy: 77.89%
Epoch [7/20], Train Loss: 0.5561
Validation Loss: 0.5440, Validation Accuracy: 77.89%
Epoch [8/20], Train Loss: 0.5335
Validation Loss: 0.5321, Validation Accuracy: 77.89%
Epoch [9/20], Train Loss: 0.5251
Validation Loss: 0.5302, Validation Accuracy: 77.89%
Epoch [10/20], Train Loss: 0.5196
Validation Loss: 0.5294, Validation Accuracy: 77.89%
Epoch [11/20], Train Loss: 0.5228
Validation Loss: 0.5300, Validation Accuracy: 77.89%
Epoch [12/20], Train Loss: 0.5188
Validation Loss: 0.5304, Validation Accuracy: 77.89%
Epoch [13/20], Train Loss: 0.5222
Validation Loss: 0.5306, Validation Accuracy: 77.89%
Epoch [14/20], Train Loss: 0.5199
Validation Loss: 0.5306, Validation Accuracy: 77.89%
Epoch [15/20], Train Loss: 0.5145
Validation Loss: 0.5304, Validation Accuracy: 77.89%
Early stopping
Finished Training
