Epoch [1/20], Train Loss: 0.6730
Validation Loss: 0.6298, Validation Accuracy: 77.89%
Epoch [2/20], Train Loss: 0.5470
Validation Loss: 0.5350, Validation Accuracy: 77.89%
Epoch [3/20], Train Loss: 0.5266
Validation Loss: 0.5320, Validation Accuracy: 77.89%
Epoch [4/20], Train Loss: 0.5201
Validation Loss: 0.5331, Validation Accuracy: 77.89%
Epoch [5/20], Train Loss: 0.5137
Validation Loss: 0.5298, Validation Accuracy: 77.89%
Epoch [6/20], Train Loss: 0.5096
Validation Loss: 0.5334, Validation Accuracy: 77.89%
Epoch [7/20], Train Loss: 0.5059
Validation Loss: 0.5313, Validation Accuracy: 77.89%
Epoch [8/20], Train Loss: 0.5043
Validation Loss: 0.5319, Validation Accuracy: 77.89%
Epoch [9/20], Train Loss: 0.5044
Validation Loss: 0.5309, Validation Accuracy: 77.89%
Epoch [10/20], Train Loss: 0.5029
Validation Loss: 0.5304, Validation Accuracy: 77.89%
Early stopping
Finished Training
