Epoch [1/20], Train Loss: 0.7292
Validation Loss: 0.7013, Validation Accuracy: 0.00%
Epoch [2/20], Train Loss: 0.6369
Validation Loss: 0.5123, Validation Accuracy: 100.00%
Epoch [3/20], Train Loss: 0.3650
Validation Loss: 0.1370, Validation Accuracy: 100.00%
Epoch [4/20], Train Loss: 0.1054
Validation Loss: 0.0055, Validation Accuracy: 100.00%
Epoch [5/20], Train Loss: 0.0253
Validation Loss: 0.0002, Validation Accuracy: 100.00%
Epoch [6/20], Train Loss: 0.0097
Validation Loss: 0.0000, Validation Accuracy: 100.00%
