Epoch [1/20], Train Loss: 0.7608
Validation Loss: 0.7595, Validation Accuracy: 0.00%
Epoch [2/20], Train Loss: 0.7585
Validation Loss: 0.7588, Validation Accuracy: 0.00%
Epoch [3/20], Train Loss: 0.7590
Validation Loss: 0.7581, Validation Accuracy: 0.00%
Epoch [4/20], Train Loss: 0.7575
Validation Loss: 0.7573, Validation Accuracy: 0.00%
Epoch [5/20], Train Loss: 0.7570
Validation Loss: 0.7566, Validation Accuracy: 0.00%
Epoch [6/20], Train Loss: 0.7565
Validation Loss: 0.7559, Validation Accuracy: 0.00%
Epoch [7/20], Train Loss: 0.7550
Validation Loss: 0.7552, Validation Accuracy: 0.00%
Epoch [8/20], Train Loss: 0.7545
Validation Loss: 0.7545, Validation Accuracy: 0.00%
Epoch [9/20], Train Loss: 0.7538
Validation Loss: 0.7539, Validation Accuracy: 0.00%
Epoch [10/20], Train Loss: 0.7526
Validation Loss: 0.7532, Validation Accuracy: 0.00%
Epoch [11/20], Train Loss: 0.7524
Validation Loss: 0.7525, Validation Accuracy: 0.00%
Epoch [12/20], Train Loss: 0.7520
Validation Loss: 0.7518, Validation Accuracy: 0.00%
Epoch [13/20], Train Loss: 0.7518
Validation Loss: 0.7511, Validation Accuracy: 0.00%
Epoch [14/20], Train Loss: 0.7502
Validation Loss: 0.7504, Validation Accuracy: 0.00%
Epoch [15/20], Train Loss: 0.7491
Validation Loss: 0.7498, Validation Accuracy: 0.00%
Epoch [16/20], Train Loss: 0.7490
Validation Loss: 0.7491, Validation Accuracy: 0.00%
Epoch [17/20], Train Loss: 0.7477
Validation Loss: 0.7484, Validation Accuracy: 0.00%
Epoch [18/20], Train Loss: 0.7472
Validation Loss: 0.7477, Validation Accuracy: 0.00%
Epoch [19/20], Train Loss: 0.7456
Validation Loss: 0.7470, Validation Accuracy: 0.00%
Epoch [20/20], Train Loss: 0.7456
Validation Loss: 0.7463, Validation Accuracy: 0.00%
Finished Training
